None,Morrio Women Purple Cotton Stretch Churidar Leggings,http://www.myntra.com/leggings/morrio/morrio-women-purple-cotton-stretch-churidar-leggin/193075/buy,Rs. 396,women-leggings-capris,Leggings & Capris,Silver Strings,http://myntra.myntassets.com/images/style/properties/Morrio-Women-Leggings_f6ffb0b591bdc0c1b42f9ecdb960d963_images_1080_1440_mini.jpg,Rs. 495,None,women,http://www.myntra.com/leggings/morrio/morrio-women-purple-cotton-stretch-churidar-leggin/193075/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32', '34'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>What's a girl's wardrobe without leggings to match her tunics and kurtas! Morrio brings to you leggings in varied hues to match your every taste. Team this pair with outifts that need a splash of colour and brighten up your day.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Purple churidar leggings with an elasticated waistband, diamante embellishment and golden ruffled paneling along tapered hems</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% cotton, 5% Spandex<br/>Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 5'8'' and waist 28'') is wearing a size M</p></li></ul>,25:02:2014,None
None,Fabnesia Women Maroon Cotton Stretch Leggings,http://www.myntra.com/leggings/fabnesia/fabnesia-women-maroon-cotton-stretch-leggings/233450/buy,Rs. 379,women-leggings-capris,Leggings & Capris,Silver Strings,http://myntra.myntassets.com/images/style/properties/Fabnesia-Women-Maroon-Cotton-Stretch-Leggings_0e783f8ff3161a11df64f38f8c49d98a_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/leggings/fabnesia/fabnesia-women-maroon-cotton-stretch-leggings/233450/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Embrace style with this chic piece from Fabnesia. Its bamboo cotton fabric will keep you comfortable all day long and keeps sweat at bay. Team it up with a cute tunic or a printed top for best results.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Maroon leggings with moisture wicking technology, offers UV protection of UPF 50+, knitted, has an elasticated waistband, tapered hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% cotton, 5% Lycra<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Nike Women Black Training Legend 2.0 Capris,http://www.myntra.com/capris/nike/nike-women-black-training-legend-20-capris/111687/buy,Rs. 1,441,women-leggings-capris,Leggings & Capris,Silver Strings,http://myntra.myntassets.com/images/style/properties/Nike-Women-Black-Training-Legend-20-Capris_e94d89637dfc02233ba5a8afb7f599eb_images_1080_1440_mini.jpg,Rs. 1,695,None,women,http://www.myntra.com/capris/nike/nike-women-black-training-legend-20-capris/111687/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Nike always achieves the perfect balance between performance and style. Engineered with special DRI fit technology, these capris will have you looking and feeling good while you run.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black capris with top stitch detailing, broad and elasticated waistband with Nike swoosh print, engineered with DRI Fit technology for dry comfort, double layered gusset <br/>Warranty: 6 months against manufacturing defects (not valid on products with more than 20% discount)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>61% cotton <br/>33% polyester <br/>6% Spandex <br/>Gusset lining: 100% polyester <br/>Machine wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 5'8" and waist 28") is wearing a size S</p></li></ul>,25:02:2014,None
None,Fabnesia Women Green Cotton Stretch Leggings,http://www.myntra.com/leggings/fabnesia/fabnesia-women-green-cotton-stretch-leggings/233455/buy,Rs. 379,women-leggings-capris,Leggings & Capris,Silver Strings,http://myntra.myntassets.com/images/style/properties/Fabnesia-Women-Green-Cotton-Stretch-Leggings_fbf33009a7553a32cf3b09e5c130f64d_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/fabnesia/fabnesia-women-green-cotton-stretch-leggings/233455/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Embrace style with this chic piece from Fabnesia. Its bamboo cotton fabric will keep you comfortable all day long and keeps sweat at bay. Team it up with a cute tunic or a printed top for best results.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green leggings with moisture wicking technology, offers UV protection of UPF 50+, knitted, has an elasticated waistband, tapered hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% cotton, 5% Lycra<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,W Women Black Cotton Churidar Leggings,http://www.myntra.com/leggings/w/w-women-black-cotton-churidar-leggings/238446/buy,Rs. 599,women-leggings-capris,Leggings & Capris,Silver Strings,http://myntra.myntassets.com/images/style/properties/W-Women-Black-Cotton-Churidar-Leggings_6591d230fc7801e50ba51e836254eefb_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/leggings/w/w-women-black-cotton-churidar-leggings/238446/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>W offers their new range of soft cotton plain leggings in myriad colours to appease your sensibilities. The versatility of this piece is endless as you can team it over tunics or kurtas to be comfortable and stylish at the same time.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black churidar leggings, knit, elasticated waistband with drawstring, tapering legs with brand tag at left hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Hand wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size S</p></li></ul>,25:02:2014,None
None,Fabnesia Women Blue Cotton Stretch Leggings,http://www.myntra.com/leggings/fabnesia/fabnesia-women-blue-cotton-stretch-leggings/233445/buy,Rs. 379,women-leggings-capris,Leggings & Capris,Silver Strings,http://myntra.myntassets.com/images/style/properties/Fabnesia-Women-Blue-Cotton-Stretch-Leggings_0722b79fd715dcf5c8327c7333528a24_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/leggings/fabnesia/fabnesia-women-blue-cotton-stretch-leggings/233445/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Embrace style with this chic piece from Fabnesia. Its bamboo cotton fabric will keep you comfortable all day long and keeps sweat at bay. Team it up with a cute tunic or a printed top for best results.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue leggings with moisture wicking technology, offers UV protection of UPF 50+, knitted, has an elasticated waistband, tapered hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% cotton, 5% Lycra<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Puma Women Black Studio Tight Fit Capris,http://www.myntra.com/capris/puma/puma-women-black-studio-tight-fit-capris/244848/buy,Rs. 1,999,women-leggings-capris,Leggings & Capris,Silver Strings,http://myntra.myntassets.com/images/style/properties/Puma-Women-Black-Studio-Tight-Fit-Capris_b428a8c6ed39cbcda35f46af5e4eb4e2_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/capris/puma/puma-women-black-studio-tight-fit-capris/244848/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32', '34'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Work-out in style with these capris from Puma. They are comfortable and trendy, which makes them a must-have in your wardrobe. Team them with racer back tops or tees when you are out playing or hitting the gym.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black capris, knitted, has a broad elasticated waistband, printed brand logo on left leg, patterned panel at sides, yoke at back</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Shell: 95% cotton, 5% elastane<br/>Inserts: 100% polyester<br/>Machine wash gentle</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Tight fit<br/>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Cottinfab Women Black Capri Leggings,http://www.myntra.com/leggings/cottinfab/cottinfab-women-black-capri-leggings/211731/buy,Rs. 799,women-leggings-capris,Leggings & Capris,Silver Strings,http://myntra.myntassets.com/images/style/properties/Cottinfab-Women-Black-Capri-Leggings_b87c1e3058be8174f370a0282ecd422f_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/cottinfab/cottinfab-women-black-capri-leggings/211731/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stretchy and soft, this basic pair of capri leggings from Cottinfab is versatile enough to complement casual separates. Team it under a solid coloured tee and ballet flats for maximum effect.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black capri leggings, knit, elasticated waistband, tapered hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% viscose, 35% cotton<br/>Machine wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Aurelia Women Black Stretch Leggings,http://www.myntra.com/leggings/aurelia/aurelia-women-black-stretch-leggings/239023/buy,Rs. 499,women-leggings-capris,Leggings & Capris,Silver Strings,http://myntra.myntassets.com/images/style/properties/Aurelia-Women-Black-Viscose-Stretch-Leggings_271784fa6f9e3c7f69f53bc14d8bb323_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/aurelia/aurelia-women-black-stretch-leggings/239023/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stock up on these soft leggings by Aurelia to match your kurtas and tunics. The breathable fabric and snug fit make these a wardrobe must-have for every woman. Style these leggings with a printed kurta or kurti for a simple and stylish look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey leggings, knitted, elasticated waistband, tapered legs</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>97% viscose, 3% Lycra<br/>Machine wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Roadster Women Navy Blue Capris,http://www.myntra.com/capris/roadster/roadster-women-navy-blue-capris/220336/buy,Rs. 899,women-leggings-capris,Leggings & Capris,Silver Strings,http://myntra.myntassets.com/images/style/properties/Roadster-Women-Dark-Blue-Capris_93ac68d4769820ef0905bb0d929ac4e7_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/capris/roadster/roadster-women-navy-blue-capris/220336/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32', '34'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Be comfortably chic for summer in these denim capris by Roadster. Pair these with a flowy tunic for a fabulous after-hours look, or with a rocker tee if your'e going afternoon shopping with the girls.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy blue denim capris, has 2 scoop pockets at front, with a change pocket at right, button and zip closure at front, waistband with belt loops, patch pockets with embroidery detail at back, brand patch on waistband at back</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>73% cotton, 25% polyester, 2% elastane<br/>Machine wash warm</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Super skinny fit, mid rise<br/>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
