None,CAT Women Pink & Grey Striped Action T-shirt,http://www.myntra.com/Tshirts/CAT/CAT-Women-Pink-&-Grey-Striped-Action-T-shirt/182145/buy,Rs. 1,399,women-apparel-new-arrivals,Clothing,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Tshirts_e1a4f11253643e03af534aa930e05df8_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Tshirts/CAT/CAT-Women-Pink-&-Grey-Striped-Action-T-shirt/182145/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>With a soft hand-feel, this tee from CAT is  for women who believe in classics. Team this piece with distressed denim  jeans and sneakers for a rugged look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pink and grey melange striped T-shirt with slub effect, V neck, short sleeves, cut-out at back at the waist<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their  respective logos, "Caterpillar Yellow" and "Caterpillar Corporate  Yellow", as well as corporate and product identity used herein, are  trademarks of Caterpillar and may not be used without permission. Tata  International Wolverine Brands Limited, distributor of Cat Footwear,  Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp;  Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>50% viscose, 50% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Original fit<br/>The model (height 5'8" and chest 33") is wearing a size M<br/>Please note that CAT top wear sizes are larger than top wear from other  brands - you may want to choose a smaller size than usual</p></li></ul>,25:02:2014,None
None,CAT Women Blue Printed T-shirt,http://www.myntra.com/Tshirts/CAT/CAT-Women-Blue-Printed-T-shirt/201065/buy,Rs. 1,099,women-apparel-new-arrivals,Clothing,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Blue-Printed-T-shirt_d17a0540facc0dcfd268c9f52306a4ae_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Tshirts/CAT/CAT-Women-Blue-Printed-T-shirt/201065/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Created for the modern girl, CAT brings you their women's collection that is a mix of feminine detail and casual style. Offset this pretty top by pairing with distressed boyfriend denims (rolled up at the hem) and studded thong sandals for a balanced look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue T-shirt, knit, V neck with raw edge detailing, brand tag at back of neck, short sleeves with upturned cuffs, printed front<br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8'' and bust 33'') is wearing a size S</p></li></ul>,25:02:2014,None
None,CAT Women Blue Spaghetti Top,http://www.myntra.com/Tops/CAT/CAT-Women-Blue-Spaghetti-Top/201076/buy,Rs. 999,women-apparel-new-arrivals,Clothing,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Grey-Spaghetti-Top_ccd720d90433363685b610566a696eea_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Tops/CAT/CAT-Women-Blue-Spaghetti-Top/201076/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Created for the modern girl, CAT brings you their women's collection that is a mix of feminine detail and casual style. Offset this pretty top by pairing it with distressed boyfriend denims (rolled up at the hem) and studded thong sandals for a balanced look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Greyish blue spaghetti top in a ribbed knit, ribbed round neckline with adjustable lace shoulder straps, lace panelling at the sides, metal branding above left hem<br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc..</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/> Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/> The model (height 5'8'' and chest 33'') is wearing a size M</p></li></ul>,25:02:2014,None
None,CAT Women Blue Pioneer T-shirt,http://www.myntra.com/Tshirts/CAT/CAT-Women-Blue-Pioneer-T-shirt/182143/buy,Rs. 1,299,women-apparel-new-arrivals,Clothing,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Tshirts_e4f1e8f5da128c0f41e9281daf7998c0_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Tshirts/CAT/CAT-Women-Blue-Pioneer-T-shirt/182143/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Built for women who have passion for living life to the fullest, this collection by CAT is born out of the legacy of innovative and courageous women. This T-shirt with refreshing detail will look fab paired with washed skinny blue denims and ballet flats,  creating a smart  look for college.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue T-shirt, knit, round neck, short sleeves, lace insert detail throughout, loop with tag detail at back neck, embroidered branding detail above left front hem</p><p>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their  respective logos, "Caterpillar Yellow" and "Caterpillar Corporate  Yellow", as well as corporate and product identity used herein, are  trademarks of Caterpillar and may not be used without permission. Tata  International Wolverine Brands Limited, distributor of Cat Footwear,  Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp;  Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Original fit<br/>The model (height 5'8'' and bust 33'') is wearing a size S<br/>Please note that CAT top wear sizes are larger than top wear from other brands - you may want to choose a smaller size than usual</p></li></ul>,25:02:2014,None
None,CAT Women Off-White Printed T-shirt,http://www.myntra.com/Tshirts/CAT/CAT-Women-Off-White-Printed-T-shirt/201070/buy,Rs. 1,099,women-apparel-new-arrivals,Clothing,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Off-White-Printed-T-shirt_125febb0139d7b0977fc906b5c899333_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Tshirts/CAT/CAT-Women-Off-White-Printed-T-shirt/201070/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Created for the modern girl, CAT brings you their women's collection that is a mix of feminine detail and casual style. Offset this pretty top by pairing with distressed boyfriend denims (rolled up at the hem) and studded thong sandals for a balanced look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Off-white T-shirt, knit, ribbed V neck, short sleeves, printed front, brand tag on left hem<br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8'' and bust 33'') is wearing a size S</p></li></ul>,25:02:2014,None
None,CAT Women Cream Coloured Printed T-shirt,http://www.myntra.com/Tshirts/CAT/CAT-Women-Cream-Coloured-Printed-T-shirt/201066/buy,Rs. 1,099,women-apparel-new-arrivals,Clothing,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Light-Yellow-Printed-T-shirt_c6ff6eee126fb539564fcb8335a44a46_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Tshirts/CAT/CAT-Women-Cream-Coloured-Printed-T-shirt/201066/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Created for the modern girl, CAT brings you their women's collection that is a mix of feminine detail and casual style. Offset this pretty top by pairing with distressed boyfriend denims (rolled up at the hem) and studded thong sandals for a balanced look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Cream coloured T-shirt, knit, ribbed round neck with brand tag at the back, short sleeves, printed front<br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8'' and bust 33'') is wearing a size S</p></li></ul>,25:02:2014,None
None,CAT Women Blue Skinny Cigarette Fit Jeans,http://www.myntra.com/Jeans/CAT/CAT-Women-Blue-Skinny-Cigarette-Fit-Jeans/215546/buy,Rs. 3,699,women-apparel-new-arrivals,Clothing,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Jeans_01059a9ca193ee8d081ceac625d88573_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Jeans/CAT/CAT-Women-Blue-Skinny-Cigarette-Fit-Jeans/215546/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Grab a pair of these flattering jeans by CAT that have been designed to accentuate your curves while providing maximum comfort. We love their modern silhouettes with trendy details and recommend you match them with cool graphic print tees and canvas shoes for a laid-back look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue 4 pocket jeans, lightly washed, waistband with loops, whiskers below waistband, 2 scoop pockets in the front, zip and button closure, branding above left pocket and on waistband at back, yoke at back, 2 patch pockets with embroidered detail at back, contrast stitch detailing along seams<br/><br/>www.cat.com (c) 2013 Wolverine WorldWide. CAT, CATERPILLAR, their respective logos, "CaterpillarYellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>99% cotton, 1% Spandex<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Skinny cigarette fit; low rise<br/>The model (height 5'8" and waist 28') is wearing a size 28</p></li></ul>,25:02:2014,None
None,CAT Women Mint Green Spaghetti Top,http://www.myntra.com/Tops/CAT/CAT-Women-Mint-Green-Spaghetti-Top/201079/buy,Rs. 999,women-apparel-new-arrivals,Clothing,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Mint-Green-Spaghetti-Top_c4d0b69455b2a4aa13f7fb224b949d5f_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Tops/CAT/CAT-Women-Mint-Green-Spaghetti-Top/201079/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Created for the modern girl, CAT brings you their women's collection that is a mix of feminine detail and casual style. Offset this pretty top by pairing it with distressed boyfriend denims (rolled up at the hem) and studded thong sandals for a balanced look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Mint green spaghetti top in a ribbed knit, ribbed round neckline with adjustable lace shoulder straps, lace panelling at the sides, metal branding above left hem<br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc..</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/> Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/> The model (height 5'8'' and chest 33'') is wearing a size M</p></li></ul>,25:02:2014,None
None,CAT Women Purple & Grey Striped Action T-shirt,http://www.myntra.com/Tshirts/CAT/CAT-Women-Purple-&-Grey-Striped-Action-T-shirt/182146/buy,Rs. 1,399,women-apparel-new-arrivals,Clothing,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Tshirts_3a698c072cdb28015f74741533d3cfb7_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Tshirts/CAT/CAT-Women-Purple-&-Grey-Striped-Action-T-shirt/182146/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['M', 'L'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>With a soft hand-feel, this tee from CAT is  for women who believe in classics. Team this piece with distressed denim  jeans and sneakers for a rugged look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Purple and grey melange striped T-shirt with slub effect, V neck, short sleeves, cut-out at back at the waist<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their  respective logos, "Caterpillar Yellow" and "Caterpillar Corporate  Yellow", as well as corporate and product identity used herein, are  trademarks of Caterpillar and may not be used without permission. Tata  International Wolverine Brands Limited, distributor of Cat Footwear,  Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp;  Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>50% viscose, 50% polyester<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Original fit<br/>The model (height 5'8" and chest 33") is wearing a size M<br/>Please note that CAT top wear sizes are larger than top wear from other  brands - you may want to choose a smaller size than usual</p></li></ul>,25:02:2014,None
None,CAT Women Peach Pink Pioneer T-shirt,http://www.myntra.com/Tshirts/CAT/CAT-Women-Peach-Pink-Pioneer-T-shirt/182144/buy,Rs. 1,299,women-apparel-new-arrivals,Clothing,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Tshirts_ae3a0f88ca8d2ad44b9aee35afaae643_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Tshirts/CAT/CAT-Women-Peach-Pink-Pioneer-T-shirt/182144/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Built for women who have passion for living life to the fullest, this collection by CAT is born out of the legacy of innovative and courageous women. This T-shirt with refreshing detail will look fab paired with washed skinny mid blue denims and ballet flats,  creating a smart  look for college.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peach pink T-shirt, round neck, short sleeves, lace insert detail throughout, embroidered branding detail above front hem</p><p>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their  respective logos, "Caterpillar Yellow" and "Caterpillar Corporate  Yellow", as well as corporate and product identity used herein, are  trademarks of Caterpillar and may not be used without permission. Tata  International Wolverine Brands Limited, distributor of Cat Footwear,  Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp;  Grown-Up Licenses Ltd. global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton<br/>Machine wash cold<br/><br/></p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Original fit<br/>The model (height 5'8'' and bust 33'') is wearing a size S<br/>Please note that CAT top wear sizes are larger than top wear from other brands - you may want to choose a smaller size than usual<br/><br/></p></li></ul>,25:02:2014,None
None,CAT Women Purple Spaghetti Top,http://www.myntra.com/Tops/CAT/CAT-Women-Purple-Spaghetti-Top/201078/buy,Rs. 999,women-apparel-new-arrivals,Clothing,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Tshirts_20f42c8c33d4fb7dcb36e6f4e3001dc1_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Tops/CAT/CAT-Women-Purple-Spaghetti-Top/201078/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>CAT offers you this cool and soft spaghetti top to add to your wardrobe. It's versatile and perfect for a relaxed stylish effect.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Purple ribbed knit spaghetti top with two adjustable shoulder straps with crochet detail, crochet insert detail at sides, metal brand tag detail on front above hem</p><p>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% polyester, 35% viscose<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size S</p><p>Please note that CAT topwear sizes are larger than topwear from other brands - you may want to choose a smaller size than usual</p></li></ul>,25:02:2014,None
