None,Avirate Women Black Shapewear Avln100032,http://www.myntra.com/Shapewear/Avirate/Avirate-Women-Black-Shapewear-Avln100032/160028/buy,Rs. 990,women-lingerie-sleepwear,Lingerie & Sleepwear,Avirate,http://myntra.myntassets.com/images/style/properties/Avirate-Women-Black-Shaper-Briefs-Avln100032_873c498d27dda336dad62f6ae6dd051c_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Shapewear/Avirate/Avirate-Women-Black-Shapewear-Avln100032/160028/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted to tone and your tummy and thighs, this tummy tightener from Avirate keeps those extra kilos hidden. Offering your legs a sleek look, this comfortable piece of is best worn under jeans, suits, skirts and churidars.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Article Number: AVLN100032<br/>Black tummy tightener elasticated along waist, textured ribbing on front, paneled mesh construction with floral detail near the leg holes, has a double layered gusset</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>87% nylon, 13% elastane<br/>Hand wash separately</p></li></ul>,25:02:2014,None
None,Avirate Black & Khaki Brief,http://www.myntra.com/Briefs/Avirate/Avirate-Black-&-Khaki-Brief/59679/buy,Rs. 520,women-lingerie-sleepwear,Lingerie & Sleepwear,Avirate,http://myntra.myntassets.com/images/style/properties/Avirate-Black-&-Khaki-Brief_2329ef4d8b31e1df207db10650079699_images_1080_1440_mini.jpg,Rs. 800,None,women,http://www.myntra.com/Briefs/Avirate/Avirate-Black-&-Khaki-Brief/59679/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green and black brief with elasticated waistband<br/> Tucks on the front<br/> 100% cotton gussets</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% polyester<br/> 5% spandex<br/> Hand wash</p></li></ul>,25:02:2014,None
None,Avirate Black & White  Brief,http://www.myntra.com/Briefs/Avirate/Avirate-Black-&-White--Brief/59678/buy,Rs. 520,women-lingerie-sleepwear,Lingerie & Sleepwear,Avirate,http://myntra.myntassets.com/images/style/properties/Avirate-Black-&-White-Brief_1da41a569eab83c2ea1f49f8b09174a0_images_1080_1440_mini.jpg,Rs. 800,None,women,http://www.myntra.com/Briefs/Avirate/Avirate-Black-&-White--Brief/59678/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>White and black brief with elasticated waistband<br/> Tucks on the front<br/> 100% cotton gussets</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% polyester<br/> 5% spandex<br/> Hand wash</p></li></ul>,25:02:2014,None
None,Avirate Women Nude Toned Shapewear AVLN100054,http://www.myntra.com/Shapewear/Avirate/Avirate-Women-Nude-Toned-Shapewear-AVLN100054/247583/buy,Rs. 1,050,women-lingerie-sleepwear,Lingerie & Sleepwear,Avirate,http://myntra.myntassets.com/images/style/properties/Avirate-Women-Shapewear_15c4a6f074cc1dc44da29ef751398ed1_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Shapewear/Avirate/Avirate-Women-Nude-Toned-Shapewear-AVLN100054/247583/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted to tone your tummy, this tummy tightener from Avirate keeps those extra kilos hidden. Offering you a sleek look, this comfortable piece of is best worn under jeans, suits, skirts and churidars.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Article Number: AVLN100054<br/>Nude toned tummy tightener, has stitched details, elasticated along the waist and leg openings, lace detailing at the front, has a double layered gusset</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>87% nylon, 13% elastane<br/>Hand wash separately</p></li></ul>,25:02:2014,None
None,Avirate Women Blue Brief,http://www.myntra.com/Briefs/Avirate/Avirate-Women-Blue-Brief/59701/buy,Rs. 585,women-lingerie-sleepwear,Lingerie & Sleepwear,Avirate,http://myntra.myntassets.com/images/style/properties/Avirate-Blue-Brief_93f61534d9ee12bd9553fa3af7008c9e_images_1080_1440_mini.jpg,Rs. 900,None,women,http://www.myntra.com/Briefs/Avirate/Avirate-Women-Blue-Brief/59701/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M', 'L'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue lace style brief with an elasticated waistband <br/> Flower detail at the back of the waistband<br/> 100% cotton gussets</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% nylon<br/> Hand wash</p></li></ul>,25:02:2014,None
None,Avirate Cream Brief,http://www.myntra.com/Briefs/Avirate/Avirate-Cream-Brief/59750/buy,Rs. 910,women-lingerie-sleepwear,Lingerie & Sleepwear,Avirate,http://myntra.myntassets.com/images/style/properties/Avirate-Cream-Brief_bacfb2e6ee3170b3a659dd6df6dd0d06_images_1080_1440_mini.jpg,Rs. 1,400,None,women,http://www.myntra.com/Briefs/Avirate/Avirate-Cream-Brief/59750/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Cream bikini <a href="../briefs">briefs</a> with pink floral print<br/> Elasticated waistband with ruffles and rosette details<br/> 100% cotton gussets</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>82% nylon, 18% spandex<br/> Hand wash</p></li></ul>,25:02:2014,None
None,Avirate Women Black Shapewear AVLN100094,http://www.myntra.com/Shapewear/Avirate/Avirate-Women-Black-Shapewear-AVLN100094/247584/buy,Rs. 1,050,women-lingerie-sleepwear,Lingerie & Sleepwear,Avirate,http://myntra.myntassets.com/images/style/properties/Avirate-Women-Shapewear_6fad5fb7e1886393fb173c897e1a14c3_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Shapewear/Avirate/Avirate-Women-Black-Shapewear-AVLN100094/247584/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted to tone your tummy, this tummy tightener from Avirate keeps those extra kilos hidden. Offering you a sleek look, this comfortable piece of is best worn under jeans, suits, skirts and churidars.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Article Number: AVLN100094<br/>Black tummy tightener, has stitched details, elasticated along the waist and leg openings, lace detailing at the front, has a double layered gusset</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>87% nylon, 13% elastane<br/>Hand wash separately</p></li></ul>,25:02:2014,None
None,Avirate Cream Corset Shapewear,http://www.myntra.com/Shapewear/Avirate/Avirate-Cream-Corset-Shapewear/64863/buy,Rs. 2,015,women-lingerie-sleepwear,Lingerie & Sleepwear,Avirate,http://myntra.myntassets.com/images/style/properties/Avirate-Cream-Corset-Shapewear_757e7b05d00c62c4668becc6a5edff75_images_1080_1440_mini.jpg,Rs. 3,100,None,women,http://www.myntra.com/Shapewear/Avirate/Avirate-Cream-Corset-Shapewear/64863/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['32A', '32B', '32C', '32D', '34B', '34C', '34D', '36B', '36C', '36D'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Cream corset with pink and black taping details<br/>Weave design on the cups<br/>Brand badge in front<br/>Net panel at the back<br/>Extra padded, boned and underwired<br/>Adjustable, elasticated straps<br/>Two row hook closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>92% polyester<br/>8% spandex<br/>Hand wash</p></li></ul>,25:02:2014,None
None,Avirate Pink Brief,http://www.myntra.com/Briefs/Avirate/Avirate-Pink-Brief/59751/buy,Rs. 910,women-lingerie-sleepwear,Lingerie & Sleepwear,Avirate,http://myntra.myntassets.com/images/style/properties/Avirate-Pink-Brief_341606a3127a6313d32a12e0026c6841_images_1080_1440_mini.jpg,Rs. 1,400,None,women,http://www.myntra.com/Briefs/Avirate/Avirate-Pink-Brief/59751/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pink bikini <a href="../briefs">briefs</a> with pink floral print<br/> Elasticated waistband with ruffles and rosette details<br/> 100% cotton gussets</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>82% nylon, 18% spandex<br/> Hand wash</p></li></ul>,25:02:2014,None
None,Avirate White & Black Polka Dot Bra AVLN100048,http://www.myntra.com/Bra/Avirate/Avirate-White-&-Black-Polka-Dot-Bra-AVLN100048/190251/buy,Rs. 850,women-lingerie-sleepwear,Lingerie & Sleepwear,Avirate,http://myntra.myntassets.com/images/style/properties/Avirate-White-&-Black-Polka-Dot-Bra-AVLN100048_f970a51568f1c87f1385bd7b88db173c_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Bra/Avirate/Avirate-White-&-Black-Polka-Dot-Bra-AVLN100048/190251/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['32A', '32B', '32C', '32D', '34B', '34C', '34D', '36B', '36C', '36D'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Meandering through the fusion of polka dots and sensual net panel arrives a bra from Avirate that lets you breathe easy with its wide neck, full support cups and fascinating design. Soft and serene in appearance, this bra lends a tempting look and feel, making it a desirable wear.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Article Number: AVLN100048<br/>White and black bra with polka dots, has non-wired cups with net panel, bow detail and brand badge at the centre, slim elasticated band under the bust, elasticated and adjustable shoulder straps, three rows of double hook and eye closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>85% nylon, 15% Spandex<br/>Hand wash</p></li></ul>,25:02:2014,None
