None,Pieces Women Multi Coloured Belt,http://www.myntra.com/Belts/Pieces/Pieces-Women-Multi-Coloured-Belt/33730/buy,Rs. 495,flat-50-sale,Clearance Sale - Flat 50% Off,Pieces,http://myntra.myntassets.com/images/style/properties/712f31bc224e3b45606d2d160b8ded16_images_1080_1440_mini.jpg,Rs. 795,None,flat,http://www.myntra.com/Belts/Pieces/Pieces-Women-Multi-Coloured-Belt/33730/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['80cm', '70cm', '75cm'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/> This stylish belt from <a href="/pieces">pieces</a> is the right accessory choice when you want to add a dash of kistch to your monochrome ensemble. Wear this too snazz up a plain ensemble or match it with a bohemian look!<br/> <br/> <strong>Product Details</strong><br/> Wide canvas belt with a floral print<br/> Canvas tie-ups to knot the belt<br/> <br/> <strong>Material and Care</strong><br/> Canvas<br/> Wipe with a clean cloth to remove dust</p></li></ul>,26:02:2014,None
None,Pieces Women Beige Belt,http://www.myntra.com/Belts/Pieces/Pieces-Women-Beige-Belt/33739/buy,Rs. 495,flat-50-sale,Clearance Sale - Flat 50% Off,Pieces,http://myntra.myntassets.com/images/style/properties/ba0d1ff9a29c0ceb0af31f52ab7fa03f_images_1080_1440_mini.jpg,Rs. 995,None,flat,http://www.myntra.com/Belts/Pieces/Pieces-Women-Beige-Belt/33739/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['75cm', '80cm', '70cm'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/> This stylish belt from <a href="/pieces">pieces</a> is the right accessory choice when you want to add a dash of kitsch to your monochrome ensemble. Wear this too snazz up a plain ensemble or match it with a bohemian look!<br/> <br/> <strong>Product Details</strong><br/> Beige coloured slim belt<br/> Press clasp and holes to customise the <a href="/Fit">Fit</a><br/> Gold leaf embellishment for style<br/> <br/> <strong>Material and Care</strong><br/> Synthetic<br/> Wipe with a clean cloth to remove dust</p></li></ul>,26:02:2014,None
None,Pieces Women Brown Belt,http://www.myntra.com/Belts/Pieces/Pieces-Women-Brown-Belt/33738/buy,Rs. 495,flat-50-sale,Clearance Sale - Flat 50% Off,Pieces,http://myntra.myntassets.com/images/style/properties/b712262c3bc7295c6c77eb03aa73fc35_images_1080_1440_mini.jpg,Rs. 995,None,flat,http://www.myntra.com/Belts/Pieces/Pieces-Women-Brown-Belt/33738/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['75cm', '80cm', '70cm'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/> This stylish belt from <a href="/pieces">pieces</a> is the right accessory choice when you want to add a dash of kistch to your monochrome ensemble. Wear this too snazz up a plain ensemble or match it with a bohemian look!<br/> <br/> <strong>Product Details</strong><br/>Greyish brown slim belt<br/> Press clasp and holes to customise the <a href="/Fit">Fit</a><br/> Silver leaf embellishment for style<br/> <br/> <strong>Material and Care</strong><br/> Synthetic<br/> Wipe with a clean cloth to remove dust</p></li></ul>,26:02:2014,None
None,Pieces Women Yellow Canvas Belt,http://www.myntra.com/Belts/Pieces/Pieces-Women-Yellow-Canvas-Belt/33731/buy,Rs. 495,flat-50-sale,Clearance Sale - Flat 50% Off,Pieces,http://myntra.myntassets.com/images/style/properties/cb6e10ac073e7049af7f866250b73399_images_1080_1440_mini.jpg,Rs. 795,None,flat,http://www.myntra.com/Belts/Pieces/Pieces-Women-Yellow-Canvas-Belt/33731/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['75cm', '80cm', '70cm'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/> This stylish belt from <a href="/pieces">pieces</a> is the right accessory choice when you want to add a dash of kistch to your monochrome ensemble. Wear this too snazz up a plain ensemble or match it with a bohemian look!<br/> <br/> <strong>Product Details</strong><br/> Wide canvas belt with a floral print<br/> Canvas tie-ups to knot the belt<br/> <br/> <strong>Material and Care</strong><br/> Canvas<br/> Wipe with a clean cloth to remove dust</p></li></ul>,26:02:2014,None
None,Pieces Women Purple Belt,http://www.myntra.com/Belts/Pieces/Pieces-Women-Purple-Belt/208541/buy,Rs. 595,flat-50-sale,Clearance Sale - Flat 50% Off,Pieces,http://myntra.myntassets.com/images/style/properties/Pieces-Women-Purple-Belt_de76927fe56c1cc564855110598b596b_images_1080_1440_mini.jpg,Rs. 1,095,None,flat,http://www.myntra.com/Belts/Pieces/Pieces-Women-Purple-Belt/208541/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['85cm', '90cm', '80cm', '95cm'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Get ready to party in a jiffy with this belt from Pieces. Wear it with smart western outfits for a stylish and glamorous look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Purple belt with gold toned metallic accents<br/>Tang closure with a fixed metallic loop having intricate detailing<br/>Warranty: 90 days against manufacturing defects  </p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyurethane<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 2.5 cm</p></li></ul>,26:02:2014,None
