None,GAS Womens Midnight Blue Dress,http://www.myntra.com/Dresses/GAS/GAS-Womens-Midnight-Blue-Dress/73441/buy,Rs. 2,100,sale-women-clothing,Clothing,GAS,http://myntra.myntassets.com/images/style/properties/GAS-Womens-Blue-Dress_915d0fc796d6042228abef0c51a43970_images_1080_1440_mini.jpg,Rs. 4,200,None,sale,http://www.myntra.com/Dresses/GAS/GAS-Womens-Midnight-Blue-Dress/73441/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M', 'L'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>GAS brings you this unique dress that will diversify your LBD collection. Pair this eccentric style with studded booties and a statement cuff; for a trend led look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Very dark blue knit dress, has a round neck, sleeveless, pleats at neckline, and hem band</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Viscose and polyester blend<br/>Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 5'8" and chest 33") is wearing a size M</p></li></ul>,26:02:2014,None
None,GAS Women Britty Blue Jeans,http://www.myntra.com/Jeans/GAS/GAS-Women-Britty-Blue-Jeans/73464/buy,Rs. 3,420,sale-women-clothing,Clothing,GAS,http://myntra.myntassets.com/images/style/properties/GAS-Women-Blue-Britty-Jeans_a313f43618a2e46d04c82d444fb7d84e_images_1080_1440_mini.jpg,Rs. 8,550,None,sale,http://www.myntra.com/Jeans/GAS/GAS-Women-Britty-Blue-Jeans/73464/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Since 1984 Grotto Spa has designed, manufactured and distributed high-quality denim apparel for men and women under the GAS label. With an international feel and fuelled by the idea of being fashionable - this pair of jeans is ideal for the intelligent, discerning and cosmopolitan woman of today for whom clothing is a form of self expression.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue with grey tinted <a href="../denim">denim</a> <a href="../jeans">jeans</a>, sanding and distressing, has two scoop pockets on the front with insert pocket on the right, yoke and two patch pockets on the back, brand patch at the back, waistband with loops and zippered fly</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>98% Cotton and 2% Elastane<br/>Machine wash warm</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Body Fit<br/>The model (height 6' and waist 32") is wearing a size 32</p></li></ul>,26:02:2014,None
None,GAS Womens Midnight Blue Dress,http://www.myntra.com/Dresses/GAS/GAS-Womens-Midnight-Blue-Dress/73441/buy,Rs. 2,100,sale-women-clothing,Clothing,GAS,http://myntra.myntassets.com/images/style/properties/GAS-Womens-Blue-Dress_915d0fc796d6042228abef0c51a43970_images_1080_1440_mini.jpg,Rs. 4,200,None,sale,http://www.myntra.com/Dresses/GAS/GAS-Womens-Midnight-Blue-Dress/73441/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M', 'L'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>GAS brings you this unique dress that will diversify your LBD collection. Pair this eccentric style with studded booties and a statement cuff; for a trend led look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Very dark blue knit dress, has a round neck, sleeveless, pleats at neckline, and hem band</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Viscose and polyester blend<br/>Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 5'8" and chest 33") is wearing a size M</p></li></ul>,26:02:2014,None
