None,Roadster Men Red Casual Shoes,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Red-Casual-Shoes/168631/buy,Rs. 839,sale-men-footwear,Footwear,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Red-Casual-Shoes_1bd115e9932ab2e87acf9aed75d0b751_images_1080_1440_mini.jpg,Rs. 1,399,None,sale,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Red-Casual-Shoes/168631/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>These trendy and stylish pair of casual shoes from Roadster, is sure to up your style quotient. We suggest that you team this with a pair of blue jeans and a casual shirt, when heading out with friends.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, red casual shoes with low top styling and central lace-ups<br/>Canvas upper, has stitched overlays and reinforced heel collar, branding at the backfoot<br/>Soft tongue and padded footbed with branding at the heel<br/>Tough outsole with patterned grooves<br/>Warranty: 3 months from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Canvas<br/>Use a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/textile-care">here</a> for the perfect care products for shoes made of textile/fabric</p></li></ul>,26:02:2014,None
None,Roadster Men Black Casual Shoes,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Black-Casual-Shoes/111732/buy,Rs. 1,259,sale-men-footwear,Footwear,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Casual-Shoes_39a54ce2c7b8c0a931e0781f1427ef3f_images_1080_1440_mini.jpg,Rs. 1,799,None,sale,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Black-Casual-Shoes/111732/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Sleek and completely in sync with latest trends, this pair from Roadster shoes is a style essential. Low top gives it the needed elegance whereas the clever construction ensures all day comfort. We recommend that you team this with a pair of clean look</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed sneaker styled casual shoes<br/>Perforated detail throughout<br/>Synthetic overlay and stitch detail throughout<br/>Red and yellow accents at the sides<br/>Reinforced at the heel collar with branding<br/>Soft padded tongue with branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe surface with soft, clean cloth to remove dust<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><br/></li></ul>,26:02:2014,None
None,Roadster Men Red Casual Shoes,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Red-Casual-Shoes/168646/buy,Rs. 719,sale-men-footwear,Footwear,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Red-Casual-Shoes_07912cd527e2747848819791313f1b01_images_1080_1440.jpg,Rs. 1,199,None,sale,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Red-Casual-Shoes/168646/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Roadster gives you a fail safe casual shoe option. We love the sleek design that is backed with comfort and a cool look. Wear with faded blue jeans and roll up the hems to let the shoes style your look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed red casual shoes with low top styling and central lace-ups<br/>Fabric upper, has reinforced overlay and branding at back of heel<br/>Light padding on the inside, soft tongue with branding, cushioned footbed, branding on the heel<br/>Tough and durable outsole with waffle patterned grooves<br/>Warranty: 3 months from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Fabric<br/>Wipe surface with soft, clean cloth to remove dust<br/>Click <a href="http://www.myntra.com/textile-care">here</a> for the perfect care products for shoes made of textile/fabric</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><br/></li></ul>,26:02:2014,None
None,Roadster Men Brown Leather Boots,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Brown-Leather-Boots/210758/buy,Rs. 2,249,sale-men-footwear,Footwear,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Brown-Leather-Boots_e00b0faa0870dd41b902e08d6f44d445_images_1080_1440_mini.jpg,Rs. 2,999,None,sale,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Brown-Leather-Boots/210758/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair of boots from Roadster is stylish, trendy and sure to spruce up your style quotient. We suggest that you team this with a pair of light blue jeans and a white casual shirt for a casual look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, brown boots with mid top styling and central lace-ups<br/>Texture leather upper with stitched detail along the seams of the shoe box, padding along the mouth, and reinforced heel collar with pull tab detail<br/>Soft tongue and padded footbed with branding at the heel<br/>Tough rubber outsole with patterned grooves<br/>Warranty: 3 months from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Use a branded leather conditioner to clean<br/>Click <a href="http://www.myntra.com/brown-smooth-leather-care">here</a> for the perfect care products for brown leather shoes</p></li></ul>,26:02:2014,None
None,Roadster Men Brown Casual Shoes,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Brown-Casual-Shoes/115469/buy,Rs. 1,399,sale-men-footwear,Footwear,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Casual-Shoes_5f8bf600fcb62264584dff381dcb4dc2_images_1080_1440_mini.jpg,Rs. 1,999,None,sale,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Brown-Casual-Shoes/115469/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Explore various casual looks with different kinds of footwear from  Roadster. The brown colour makes it a versatile addition to your  wardrobe.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, brown casual shoes with low top styling and central lace ups<br/>Synthetic upper with stitch and overlay detailing<br/>Soft padded tongue, footbed and inner<br/>Branding at the tongue and footbed, perforated detail at the sides, reinforced overlays at the toe and heel collar<br/>Tough textured outsole with patterned nubs and grooves<br/>Warranty: 3 months from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe surface with soft, clean cloth to remove dust<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p><br/></p></li></ul>,26:02:2014,None
None,Roadster Men Black Leather Casual Shoes,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Black-Leather-Casual-Shoes/210760/buy,Rs. 1,874,sale-men-footwear,Footwear,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Black-Leather-Casual-Shoes_a9b10a10ec8405429eb2f484c23dabe6_images_1080_1440_mini.jpg,Rs. 2,499,None,sale,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Black-Leather-Casual-Shoes/210760/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair of shoes from Roadster is stylish, trendy and sure to spruce up your style quotient. We suggest that you team this with a pair of light blue jeans and a white casual shirt for a casual look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, black casual shoes with low top styling and central lace-ups<br/>Texture leather upper with stitched detail, overlays, and reinforced heel collar<br/>Soft tongue and padded footbed with branding at the heel<br/>Tough rubber outsole with patterned grooves<br/>Warranty: 3 months from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Use a branded leather conditioner to clean<br/>Click <a href="http://www.myntra.com/black-smooth-leather-care">here</a> for the perfect care products for black leather shoes</p></li></ul>,26:02:2014,None
None,Roadster Men Green Casual Shoes,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Green-Casual-Shoes/168643/buy,Rs. 979,sale-men-footwear,Footwear,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Green-Casual-Shoes_432c55a0060c35051efe3f6982b784fd_images_1080_1440.jpg,Rs. 1,399,None,sale,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Green-Casual-Shoes/168643/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Up your style quotient with these trendy casual shoes from Roadster. Designed with a clean look, you can team these with your regular jeans and casual tee for a laid-back style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, green casual shoes with central lace-ups and mid top styling<br/>Canvas upper with overlay and stitched detail<br/>Reinforced overlay at the heel collar with a pull loop<br/>Soft tongue and padded footbed with branding<br/>Tough and textured outsole with patterned grooves<br/>Warranty: 3 months from the date of purchase, against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Canvas<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/textile-care">here</a> for the perfect care products for shoes made of textile/fabric</p></li></ul>,26:02:2014,None
None,Roadster Men Blue Casual Shoes,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Blue-Casual-Shoes/111717/buy,Rs. 1,469,sale-men-footwear,Footwear,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Casual-Shoes_b639080d7f913f31cbe4e4514d544b4b_images_1080_1440_mini.jpg,Rs. 2,099,None,sale,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Blue-Casual-Shoes/111717/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stylish and comfortable casual shoes from Roadster to instantly boost your style quotient. You can wear them with a pair of light blue jeans and a white T-shirt for a casual yet sporty feel.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed casual shoes with a synthetic upper that has synthetic overlays<br/>Central lace up closure<br/>Green accents at both sides<br/>Stitch detail and perforated throughout<br/>Reinforced at the toe and heel collar<br/>Heel collar reinforced extends and has branding<br/>Soft padded tongue and footbed with branding<br/>Textured outsole with deep grooves<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe surface with soft, clean cloth to remove dust<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><br/></li></ul>,26:02:2014,None
None,Roadster Men Black and Grey Sports Sandals,http://www.myntra.com/Sports-Sandals/Roadster/Roadster-Men-Black-and-Grey-Sports-Sandals/140376/buy,Rs. 1,049,sale-men-footwear,Footwear,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Sandals_c65d158de555cfba7e582cdfdb20ced8_images_1080_1440_mini.jpg,Rs. 1,499,None,sale,http://www.myntra.com/Sports-Sandals/Roadster/Roadster-Men-Black-and-Grey-Sports-Sandals/140376/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Sturdy and durable, these sports sandals from Roadster are synonymous with   breathable comfort. Wear them with a sports tee and shorts for a look   that exudes casual cool.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black and grey sports sandals with red accents, perforations and multiple branding on the upper and Velcro closures<br/>Straps at the forefoot, midfoot and backfoot with Velcro closures<br/>Cushioned, textured footbed with diamond patterns<br/>Durable, tough outsole with grooves, lugs and branding<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>PU<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,26:02:2014,None
None,Roadster Men White Casual Shoes,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-White-Casual-Shoes/111719/buy,Rs. 1,469,sale-men-footwear,Footwear,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Casual-Shoes_4c9f7af0c17d1dd12f5f90d3ac7897cc_images_1080_1440_mini.jpg,Rs. 2,099,None,sale,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-White-Casual-Shoes/111719/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10', '11'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p><span style="color: #333333  font-family;">A stylish pair of shoes from Roadster for your casual outings. We recommend you wear them with your favourite jeans and a T-shirt.<br/></span></p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>White casual shoes with a synthetic upper<br/>Perforated patches at the forefoot and sides<br/>Central lace up closure<br/>Reinforced at the toe and heel collar with synthetic overlays and stitch detailing<br/>Soft padded tongue with embroidered branding<br/>Soft padded footbed with branding at the heel area<br/>Tough and textured outsole with grooves<br/>Warranty: 3 months against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe surface with soft, clean cloth to remove dust<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><br/></li></ul>,26:02:2014,None
None,Roadster Men Black & Grey Casual Shoes,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Black-&-Grey-Casual-Shoes/111745/buy,Rs. 1,399,sale-men-footwear,Footwear,Roadster,http://myntra.myntassets.com/images/style/properties/Roadster-Men-Sports-Shoes_bc2235142174326dcdceeb9938b46fb0_images_1080_1440_mini.jpg,Rs. 1,999,None,sale,http://www.myntra.com/Casual-Shoes/Roadster/Roadster-Men-Black-&-Grey-Casual-Shoes/111745/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['6', '7', '8', '9', '10'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Sleek and completely in sync with latest trends, this pair from Roadster shoes is a style essential. Low top gives it the needed elegance whereas the mesh construction ensures all day comfort. We recommend that you team this with a pair of clean look jeans.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed shoes with a mesh upper<br/>The black mesh upper has grey synthetic overlays and red accents<br/>Central lace up closure with a tape detail<br/>Branding at the forefoot region<br/>Reinforced stitched overlay at the toe and heel co</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe surface with soft, clean cloth to remove dust<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><br/></li></ul>,26:02:2014,None
