None,Oakley Women Fringe Brown Sunglasses,http://www.myntra.com/Sunglasses/OAKLEY/Oakley-Women-Fringe-Brown-Sunglasses/23783/buy,Rs. 7,150,women-sunglasses,Sunglasses,OAKLEY,http://myntra.myntassets.com/images/style/properties/Oakley-Women-Fringe-Brown-Sunglassese6d50f6df9c156f2fcfdb654d87c6ede_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Sunglasses/OAKLEY/Oakley-Women-Fringe-Brown-Sunglasses/23783/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>High on style, this pair of Fringe <a href="../sunglasses">sunglasses</a> from <a href="../oakley">oakley</a> comes in a styled frame. An eclectic mixture of fashion and substance, its shape provides the perfect <a href="../Fit">Fit</a> over the root of your nose. These glasses come with a sturdy case for safekeeping.<br/><br/><strong>Lens width</strong>: 60 mm<br/><strong>Frame Colour</strong>: Brown<br/><strong>Lens Colour</strong>: Brown<br/><br/>Tinted lens for use in normal daylight conditions<br/>Plastic frame in an aerodynamic design<br/>Round lens for absolute style and protection from the elements<br/>Flexible hinges for durability and ease of wear<br/>Fixed nose holder to hold the glasses in place, ensuring there is no friction with the skin<br/><br/><strong>Care</strong><br/>Remove dust and grime by gently wiping the lens with a soft cloth<br/>Remove oil or tough stains with the help of a lens cleaner<br/>Do not use your fingers on such stains<br/>Do not place glasses on uneven surface or heated areas like the dashboard of a car</p></li></ul>,25:02:2014,None
None,Oakley Women Brown Forsake Sunglasses,http://www.myntra.com/Sunglasses/OAKLEY/Oakley-Women-Brown-Forsake-Sunglasses/23771/buy,Rs. 6,690,women-sunglasses,Sunglasses,OAKLEY,http://myntra.myntassets.com/images/style/properties/Oakley-Women-Brown-Forsake-Sunglasses4c6125ecea481dbb2c1208757e00bbef_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Sunglasses/OAKLEY/Oakley-Women-Brown-Forsake-Sunglasses/23771/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>High on style, this pair of <a href="../sunglasses">sunglasses</a> from <a href="../oakley">oakley</a> comes in a styled frame. An eclectic mixture of fashion and substance, its shape provides that perfect <a href="../Fit">Fit</a> over the root of your nose. The glasses come with a stylish embossed case and are enclosed in a velveteen pouch.<br/> <br/><strong> Lens size</strong>: 128 mm<br/><strong> Warranty</strong>: 1 year<br/> <br/> Tinted plutonite lens with 100% UVA, UVB and UVC protection and harmful blue light upto 400nm<br/> Oakley Iridium leans coating to reduce glare and improve contrast<br/> Stylised plastic frame in an aerodynamic design for absolute comfort and durability<br/> Square lens for absolute style and protection from elements<br/> Flexible hinges for durability<br/> Fixed nose holder with a thick nose bridge which is part of the frame to hold the glasses in place, ensuring there is no friction with the skin<br/> <br/><strong> Care</strong><br/> Remove dust and grime by gently wiping the lens with the cloth provided<br/> Remove oil or tough stains with the help of a lens cleaner<br/> Do not use your fingers on such stains<br/> Do not place glasses on uneven surface or heated areas like the dashboard of a car</p></li></ul>,25:02:2014,None
None,Oakley Women White Correspondent Sunglasses,http://www.myntra.com/Sunglasses/OAKLEY/Oakley-Women-White-Correspondent-Sunglasses/23774/buy,Rs. 7,203,women-sunglasses,Sunglasses,OAKLEY,http://myntra.myntassets.com/images/style/properties/Oakley-Women-White-Correspondent-Sunglasses5d4dff883785e8e5a55f639933be0711_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Sunglasses/OAKLEY/Oakley-Women-White-Correspondent-Sunglasses/23774/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>High on style, this pair of <a href="../sunglasses">sunglasses</a> from <a href="../oakley">oakley</a> comes in a styled frame. An eclectic mixture of fashion and substance, its shape provides that perfect <a href="../Fit">Fit</a> over the root of your nose. The glasses come with a stylish embossed case and are enclosed in a velveteen pouch. <br/> <br/> <span style="font-style: normal  font-weight;">Lens size</span><span style="font-style: normal  font-weight;">: 60 mm<br/> </span><span style="font-style: normal  font-weight;">Warranty</span><span style="font-style: normal  font-weight;">: 1 year<br/> <br/> Tinted Plutonite lens with 100% UVA, UVB and UVC protection and harmful blue light upto 400nm<br/> Has Oakley Iridium leans coating to reduce glare and improve contrast<br/> Stylised plastic frame in an aerodynamic design for absolute comfort and durability<br/> Square lens for absolute style and protection from elements<br/> Flexible hinges for durability<br/> Fixed nose holder with a thick nose bridge which is part of the frame to hold the glasses in place, ensuring there is no friction with the skin<br/> <br/> </span><span style="font-style: normal  font-weight;">Care<br/> </span><span style="font-style: normal  font-weight;">Remove dust and grime by gently wiping the lens with the cloth provided<br/> Remove oil or tough stains with the help of a lens cleaner<br/> Do not use your fingers on such stains<br/> Do not place glasses on uneven surface or heated areas like the dashboard of a car</span></p></li></ul>,25:02:2014,None
