None,Nell Women Pink Sandals,http://www.myntra.com/Flats/Nell/Nell-Women-Pink-Sandals/149034/buy,Rs. 651,women-sandals,Sandals,Nell,http://myntra.myntassets.com/images/style/properties/Nell-Women-Pink-Sandals_1402e34983c4955b683d0b966e08a6f3_images_1080_1440_mini.jpg,Rs. 1,085,None,women,http://www.myntra.com/Flats/Nell/Nell-Women-Pink-Sandals/149034/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '3.5', '4', '5', '6', '7', '7.5'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A versatile inclusion in your shoe collection, this stylish pair from Nell promises to lend an interesting touch to  your look. Team these with a floral printed dress for a lunch date.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, pink sandals with slip-on styling<br/>Has a thong style upper of which one strap is shorter, and a diagonal strap with braided patterns<br/>Cushioned footbed with textured patterns<br/>Tough rubber outsole with patterned grooves and an upraised heel<br/>Warranty: 30 days against manufacturing defects only (not valid on any discounted merchandise or any other promotional offers)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic leather<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,25:02:2014,None
None,Nell Women Metallic Pink Sandals,http://www.myntra.com/Heels/Nell/Nell-Women-Metallic-Pink-Sandals/186840/buy,Rs. 711,women-sandals,Sandals,Nell,http://myntra.myntassets.com/images/style/properties/Nell-Women-Flats_f3aa3893c8b31568e3d90f7b707e052f_images_1080_1440_mini.jpg,Rs. 1,185,None,women,http://www.myntra.com/Heels/Nell/Nell-Women-Metallic-Pink-Sandals/186840/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '3.5', '4', '5', '6', '7', '7.5'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A versatile addition to your shoe collection, this stylish pair of sandals from Nell promises to lend a feminine touch to your look. We recommend you style it with a printed dress for a brunch party.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peep toed, metallic pink sandals with slip-on styling<br/>Has a bow detail at the forefoot<br/>Soft, padded footbed with branding at the heel<br/>Tough outsole with a chunky heel<br/>Warranty: 30 days against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.5"</p></li></ul>,25:02:2014,None
None,Nell Women Black Sandals,http://www.myntra.com/Flats/Nell/Nell-Women-Black-Sandals/149031/buy,Rs. 651,women-sandals,Sandals,Nell,http://myntra.myntassets.com/images/style/properties/Nell-Women-Black-Sandals_aa61ff63fb2cbb98fa4d9444af0ae761_images_1080_1440_mini.jpg,Rs. 1,085,None,women,http://www.myntra.com/Flats/Nell/Nell-Women-Black-Sandals/149031/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '3.5', '4', '5', '6', '7', '7.5'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Give a fresh twist to your shoe closet with these sandals from Nell. Versatile enough to go with any ensemble, they will add instant style to any look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black sandals with slip-on styling, has textured thong straps<br/>Soft, padded footbed with branding at the heel<br/>Textured outsole with grooves and a slightly upraised heel<br/>Warranty: 30 days from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic leather<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,25:02:2014,None
None,Nell Women Orange Sandals,http://www.myntra.com/Heels/Nell/Nell-Women-Orange-Sandals/156458/buy,Rs. 891,women-sandals,Sandals,Nell,http://myntra.myntassets.com/images/style/properties/Nell-Women-Heels_1ad7bcc5867a6ba008e2ab26a9378994_images_1080_1440_mini.jpg,Rs. 1,485,None,women,http://www.myntra.com/Heels/Nell/Nell-Women-Orange-Sandals/156458/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8', '9'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Let the <span class="GINGER_SOFATWARE_mark" id="891430e7-e8f4-4090-8249-a4fd9c74188b">fashionista</span> in you revel in comfort with these trendy sandals   <span class="GINGER_SOFATWARE_mark" id="e685ea47-c17d-4ea3-8be2-d48f9c3962ff">from</span> Nell. For a fashion-forward take, pair these with a printed dress   <span class="GINGER_SOFATWARE_mark" id="4aa0cf5c-9710-458a-bc3a-b0558e2acaca">for</span> a lunch date with friends.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, orange sandals with blue accents, has buckle closure<br/>Has a strap across the forefoot, criss-cross straps across the midfoot that is connected to an ankle loop and secured with a buckle closure<br/>Comfortable footbed with branding<br/>Tough and textured outsole with a wedge heel<br/>Warranty: 30 days against manufacturing defects only (not valid on any discounted merchandise or any other promotional offers)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic leather<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 3.5"</p></li></ul>,25:02:2014,None
None,Nell Women Metallic Grey Sandals,http://www.myntra.com/Heels/Nell/Nell-Women-Metallic-Grey-Sandals/186839/buy,Rs. 711,women-sandals,Sandals,Nell,http://myntra.myntassets.com/images/style/properties/Nell-Women-Flats_3554e4661da5320469b6c14327819521_images_1080_1440_mini.jpg,Rs. 1,185,None,women,http://www.myntra.com/Heels/Nell/Nell-Women-Metallic-Grey-Sandals/186839/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '3.5', '4', '5', '6', '7', '7.5'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A versatile addition to your shoe collection, this stylish pair of sandals from Nell promises to lend a feminine touch to your look. We recommend you style it with a printed dress for a brunch party.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peep toed, metallic grey sandals with slip-on styling<br/>Has a bow detail at the forefoot<br/>Soft, padded footbed with branding at the heel<br/>Tough outsole with a chunky heel<br/>Warranty: 30 days against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.5"</p></li></ul>,25:02:2014,None
None,Nell Women Gold Toned Sandals,http://www.myntra.com/Heels/Nell/Nell-Women-Gold-Toned-Sandals/155801/buy,Rs. 327,women-sandals,Sandals,Nell,http://myntra.myntassets.com/images/style/properties/Nell-Women-Gold-Toned-Sandals_358151eacd7a0ce0c0ac450e4d475343_images_1080_1440_mini.jpg,Rs. 545,None,women,http://www.myntra.com/Heels/Nell/Nell-Women-Gold-Toned-Sandals/155801/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3.5', '4', '5', '6'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A sleek pair of sandals from Nell is all you need to put on when you have to get ready in a hurry. Easy to slip-on at a moment's notice, this pair will add a glamorous touch to any look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, gold toned sandals with slip-on styling<br/>Straps at the forefoot and midfoot with sequin details<br/>Soft footbed with printed detail at the heel<br/>Textured EVA outsole with a platform heel<br/>Warranty: 30 days against manufacturing defects only (not valid on products under discount or promotional offer)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 1.5"</p></li></ul>,25:02:2014,None
None,Nell Women Black Sandals,http://www.myntra.com/Flats/Nell/Nell-Women-Black-Sandals/149017/buy,Rs. 651,women-sandals,Sandals,Nell,http://myntra.myntassets.com/images/style/properties/Nell-Women-Black-Sandals_732d0c17be19564a0c2846338c1bf5db_images_1080_1440_mini.jpg,Rs. 1,085,None,women,http://www.myntra.com/Flats/Nell/Nell-Women-Black-Sandals/149017/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '3.5', '4', '5', '6', '7', '7.5'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Give a fresh twist to your shoe closet with these sandals from Nell. Versatile enough to go with any ensemble, they will add instant style to any look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black sandals with slip-on styling, has a textured, broad strap at the forefoot<br/>Soft, padded footbed with branding at the heel<br/>Textured outsole with grooves and a slightly upraised heel<br/>Warranty: 30 days from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic leather<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,25:02:2014,None
None,Nell Women Shimmery Red Sandals,http://www.myntra.com/Heels/Nell/Nell-Women-Shimmery-Red-Sandals/186847/buy,Rs. 717,women-sandals,Sandals,Nell,http://myntra.myntassets.com/images/style/properties/Nell-Women-Shimmery-Red-Sandals_7ad18a18147aa825af87dbb8e9775c28_images_1080_1440_mini.jpg,Rs. 1,195,None,women,http://www.myntra.com/Heels/Nell/Nell-Women-Shimmery-Red-Sandals/186847/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '3.5', '4', '5', '6', '7', '7.5'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add an instant hit of glamour to your party look with this glittery pair of sandals from Nell. It promises to lend a feminine touch to your look. We recommend you style it with a sheath dress for the perfect, chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, shimmery red sandals with slip-on styling<br/>Has a vertical tab connecting the forefoot and midfoot straps<br/>Soft, comfortable footbed with branding at the heel<br/>Tough outsole with a slim heel that has a plastic heel cap<br/>Warranty: 30 days against manufacturing defects only (not valid on products under discount or promotional offer)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic leather<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 4.5"</p></li></ul>,25:02:2014,None
None,Nell Women Black Sandals,http://www.myntra.com/Flats/Nell/Nell-Women-Black-Sandals/149023/buy,Rs. 651,women-sandals,Sandals,Nell,http://myntra.myntassets.com/images/style/properties/Nell-Women-Black-Sandals_27dbd861fbe906dde96d592a29c42bda_images_1080_1440_mini.jpg,Rs. 1,085,None,women,http://www.myntra.com/Flats/Nell/Nell-Women-Black-Sandals/149023/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '3.5', '4', '5', '6', '7', '7.5'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Give a fresh twist to your shoe closet with these sandals from Nell. Versatile enough to go with any ensemble, they will add instant style to any look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black sandals with slip-on styling, has a toe holder and a diagonal strap across the forefoot and midfoot, a broad strap at the midfoot<br/>Soft, padded footbed with branding at the heel<br/>Textured outsole with grooves and a slightly upraised heel<br/>Warranty: 30 days from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic leather<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,25:02:2014,None
None,Nell Woman Black Toned Sandals,http://www.myntra.com/Flats/Nell/Nell-Woman-Black-Toned-Sandals/186980/buy,Rs. 531,women-sandals,Sandals,Nell,http://myntra.myntassets.com/images/style/properties/Nell-Women-Flats_d9deeab2f8464f258e5158dd7fe1faf1_images_1080_1440_mini.jpg,Rs. 885,None,women,http://www.myntra.com/Flats/Nell/Nell-Woman-Black-Toned-Sandals/186980/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '3.5', '4', '5', '6', '7', '7.5'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Give a fresh twist to your shoe closet with these sandals from Nell. Versatile enough to go with any ensemble, they will add instant style to any look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black sandals with slip-on styling, has a broad forefoot strap<br/>Soft, padded footbed with branding at the heel<br/>Textured outsole <br/>Warranty: 30 days against manufacturing defects only (not valid on products under discount or promotional offer)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,25:02:2014,None
None,Nell Women Bronze Sandals,http://www.myntra.com/Flats/Nell/Nell-Women-Bronze-Sandals/186829/buy,Rs. 531,women-sandals,Sandals,Nell,http://myntra.myntassets.com/images/style/properties/Nell-Women-Heels_a70d49b4cc010131cbaf836ded5b3a00_images_1080_1440_mini.jpg,Rs. 885,None,women,http://www.myntra.com/Flats/Nell/Nell-Women-Bronze-Sandals/186829/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '3.5', '4', '5', '6', '7', '7.5'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Hop on the style wagon with these chic ballerinas from Nell. The sleek design and comfortable fit are sure to make this pair a hot favourite. Team it with shorts and tee for a relaxing day out.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, bronze sandals with slip-on styling<br/>Synthetic upper with a strap across the forefoot<br/>Comfortable and textured footbed with branding<br/>Tough and textured outsole<br/>Warranty: 30 days against manufacturing defects only (not valid on products under discount or promotional offer)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li></ul>,25:02:2014,None
