None,Revv Men Gold Toned & Steel Ring,http://www.myntra.com/Ring/Revv/Revv-Men-Gold-Toned-&-Steel-Ring/88533/buy,Rs. 720,fashion-sale,Extra 32% Off on 30,Revv,http://myntra.myntassets.com/images/style/properties/Revv-Men-Gold-Toned-&-Steel-Ring_4fed25d9999aefc5a45d356d18b22eab_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Ring/Revv/Revv-Men-Gold-Toned-&-Steel-Ring/88533/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Minimalistic accessories that adorn without going overboard - those are a man's jewellery. Revv and men both seem to agree on this. This band style ring is an understated accessory which is sure to catch your attention.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned and steel band with a curved square shape from the outside</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Diameter: 2 cm</p></li></ul>,26:02:2014,None
None,Revv Men Steel Bangle,http://www.myntra.com/Bangle/Revv/Revv-Men-Steel-Bangle/48745/buy,Rs. 756,fashion-sale,Extra 32% Off on 30,Revv,http://myntra.myntassets.com/images/style/properties/4b1742d093093a4c6aadd2bf7a56bf6b_images_1080_1440_mini.jpg,Rs. 1,080,None,fashion,http://www.myntra.com/Bangle/Revv/Revv-Men-Steel-Bangle/48745/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/>Designed keeping in mind the aesthetics of the trendsetting youth of today, this <a href="../bracelet">bracelet</a> from <a href="../revv">revv</a> is simple, smart and stylish. Crafted from steel, its shine does not diminish with time, while its classic design and colour combination allow you to pair it with a wide range of ensembles.<br/><br/><strong>Product Details</strong><br/>Steel <a href="../bangle">bangle</a> with alternating bands of black and white<br/>Elasticated, allowing you to slip-on with ease<br/><br/><strong>Materials and Care</strong><br/>Steel<br/>Wipe with clean dry cloth to remove dust</p></li></ul>,26:02:2014,None
None,Revv Men Steel Bangle,http://www.myntra.com/Bangle/Revv/Revv-Men-Steel-Bangle/48744/buy,Rs. 630,fashion-sale,Extra 32% Off on 30,Revv,http://myntra.myntassets.com/images/style/properties/a4913e2a3323327ef224e634f48a857c_images_1080_1440_mini.jpg,Rs. 900,None,fashion,http://www.myntra.com/Bangle/Revv/Revv-Men-Steel-Bangle/48744/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/> Designed keeping in mind the aesthetics of the trendsetting youth of  today, this <a href="../bracelet">bracelet</a> from <a href="../revv">revv</a> is simple, smart and stylish. Crafted  from steel, its shine does not diminish with time, while its classic  design and colour combination allow you to pair it with a wide range of  ensembles.<br/> <br/> <strong>Product Details</strong><br/> Steel <a href="../bangle">bangle</a> with alternating bands of black and white<br/> Elasticated, allowing you to slip-on with ease<br/> <br/> <strong>Material and Care</strong><br/> Steel<br/> Wipe with clean dry cloth to remove dust</p></li></ul>,26:02:2014,None
None,Revv Men Steel Bangle,http://www.myntra.com/Bangle/Revv/Revv-Men-Steel-Bangle/48744/buy,Rs. 630,fashion-sale,Extra 32% Off on 30,Revv,http://myntra.myntassets.com/images/style/properties/a4913e2a3323327ef224e634f48a857c_images_1080_1440_mini.jpg,Rs. 900,None,fashion,http://www.myntra.com/Bangle/Revv/Revv-Men-Steel-Bangle/48744/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/> Designed keeping in mind the aesthetics of the trendsetting youth of  today, this <a href="../bracelet">bracelet</a> from <a href="../revv">revv</a> is simple, smart and stylish. Crafted  from steel, its shine does not diminish with time, while its classic  design and colour combination allow you to pair it with a wide range of  ensembles.<br/> <br/> <strong>Product Details</strong><br/> Steel <a href="../bangle">bangle</a> with alternating bands of black and white<br/> Elasticated, allowing you to slip-on with ease<br/> <br/> <strong>Material and Care</strong><br/> Steel<br/> Wipe with clean dry cloth to remove dust</p></li></ul>,26:02:2014,None
None,Revv Men Gold Toned & Steel Ring,http://www.myntra.com/Ring/Revv/Revv-Men-Gold-Toned-&-Steel-Ring/88533/buy,Rs. 720,fashion-sale,Extra 32% Off on 30,Revv,http://myntra.myntassets.com/images/style/properties/Revv-Men-Gold-Toned-&-Steel-Ring_4fed25d9999aefc5a45d356d18b22eab_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Ring/Revv/Revv-Men-Gold-Toned-&-Steel-Ring/88533/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Minimalistic accessories that adorn without going overboard - those are a man's jewellery. Revv and men both seem to agree on this. This band style ring is an understated accessory which is sure to catch your attention.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned and steel band with a curved square shape from the outside</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Metal<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Diameter: 2 cm</p></li></ul>,26:02:2014,None
None,Revv Men Steel Bangle,http://www.myntra.com/Bangle/Revv/Revv-Men-Steel-Bangle/48745/buy,Rs. 756,fashion-sale,Extra 32% Off on 30,Revv,http://myntra.myntassets.com/images/style/properties/4b1742d093093a4c6aadd2bf7a56bf6b_images_1080_1440_mini.jpg,Rs. 1,080,None,fashion,http://www.myntra.com/Bangle/Revv/Revv-Men-Steel-Bangle/48745/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/>Designed keeping in mind the aesthetics of the trendsetting youth of today, this <a href="../bracelet">bracelet</a> from <a href="../revv">revv</a> is simple, smart and stylish. Crafted from steel, its shine does not diminish with time, while its classic design and colour combination allow you to pair it with a wide range of ensembles.<br/><br/><strong>Product Details</strong><br/>Steel <a href="../bangle">bangle</a> with alternating bands of black and white<br/>Elasticated, allowing you to slip-on with ease<br/><br/><strong>Materials and Care</strong><br/>Steel<br/>Wipe with clean dry cloth to remove dust</p></li></ul>,26:02:2014,None
