None,Peora Gold Plated Studded Earrings,http://www.myntra.com/Earrings/Peora/Peora-Gold-Plated-Studded-Earrings/187241/buy,Rs. 2,800,women-jewellery,Jewellery,Peora,http://myntra.myntassets.com/images/style/properties/Peora_891fa60385f0cd1edee80d11876a95d7_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Earrings/Peora/Peora-Gold-Plated-Studded-Earrings/187241/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This beautiful pair of earrings from Peora speaks of simple elegance. Flaunt this pair with a maxi dress and watch heads turn as you walk by.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Sterling silver, gold plated round earrings with stone studded detail<br/>Secured with post and back closure<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>18 KT gold plated sterling silver, cubic zirconia<br/>Wipe with a dry, clean cloth to remove dust</p></li></ul>,25:02:2014,None
None,Peora Gold Plated Earring & Pendant Set,http://www.myntra.com/Earring-&-Pendant-Set/Peora/Peora-Gold-Plated-Earring-&-Pendant-Set/187275/buy,Rs. 2,900,women-jewellery,Jewellery,Peora,http://myntra.myntassets.com/images/style/properties/Peora-Women-Earring-&-Pendant-Set_677073ed88b081f9a48cd75262c785b1_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Earring-&-Pendant-Set/Peora/Peora-Gold-Plated-Earring-&-Pendant-Set/187275/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Simple and minimalistic, this earring and pendant set from Peora is a keeper. Style it  with a tonal tunic to show off your impeccable style sense.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold plated earring and pendant set<br/>Pendant with intricate detail, stone studded and pearl-like detail, comes with a chain that is secured with an adjustable lobster clasp<br/>Stud earrings with intricate detail, stone studded and pearl-like detail, secured with a post back closure<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>18 KT gold plated sterling silver and CZ stones<br/>Wipe gently with a chamois cloth or a leather swatch after use</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 3.5 cm<br/>Length of chain: 45.5 cm<br/>Length of earrings: 1.5 cm</p></li></ul>,25:02:2014,None
None,Peora Rhodium Plated Ring,http://www.myntra.com/Ring/Peora/Peora-Rhodium-Plated-Ring/187355/buy,Rs. 1,650,women-jewellery,Jewellery,Peora,http://myntra.myntassets.com/images/style/properties/Peora-Women-Ring_4e3137e8bad9a8fb19ed6db112073c03_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Ring/Peora/Peora-Rhodium-Plated-Ring/187355/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This alluring ring from Peora is sure to capture your attention.  Team it with your favourite little black dress and make your night sparkle.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver ring with stone studded detail at the front and circular stone studded detail around a central faceted stone<br/>1 year warranty against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Rhodium plated, sterling silver and CZ stone<br/>Wipe gently with a chamois cloth or a leather swatch after use</p></li></ul>,25:02:2014,None
None,Peora Rhodium Plated Sterling Silver Earrings,http://www.myntra.com/Earrings/Peora/Peora-Rhodium-Plated-Sterling-Silver-Earrings/187263/buy,Rs. 2,600,women-jewellery,Jewellery,Peora,http://myntra.myntassets.com/images/style/properties/Peora-Women-Earrings_1aa42cc33cd150cf7702e45e1e5d96ab_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Earrings/Peora/Peora-Rhodium-Plated-Sterling-Silver-Earrings/187263/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A versatile inclusion to your jewellery collection is this pair of earrings from Peora. You can team this pair with any casual outfit for a stylish look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Sterling silver, drop earrings with studded CZ stone detail, has a faceted green stone at the centre<br/>Secured with a post and back closure<br/>Warranty: 1 year against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Rhodium plated sterling silver and CZ stone<br/>Wipe with a dry, clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 3 cm</p></li></ul>,25:02:2014,None
None,Peora Rhodium Plated Ring,http://www.myntra.com/Ring/Peora/Peora-Rhodium-Plated-Ring/187351/buy,Rs. 2,250,women-jewellery,Jewellery,Peora,http://myntra.myntassets.com/images/style/properties/Peora-Women-Ring_9abace1c2fcd960b1fcfd13e6cfcd5c9_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Ring/Peora/Peora-Rhodium-Plated-Ring/187351/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Embellish yourself in this exquisite ring from Peora. Team it with an off-shoulder maxi dress and flaunt it under the moonlight.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver ring with stone studded detail at the front<br/>1 year warranty against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Rhodium plated, sterling silver and CZ stone<br/>Wipe gently with a chamois cloth or a leather swatch after use</p></li></ul>,25:02:2014,None
None,Peora Rhodium Plated Jewellery Set,http://www.myntra.com/Jewellery-Set/Peora/Peora-Rhodium-Plated-Jewellery-Set/187332/buy,Rs. 3,800,women-jewellery,Jewellery,Peora,http://myntra.myntassets.com/images/style/properties/Peora-Women-Necklace_3573797e2f94403c17478af3d9e4156d_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Jewellery-Set/Peora/Peora-Rhodium-Plated-Jewellery-Set/187332/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Set the night on fire and become the cynosure of all eyes with this gorgeous jewellery set by Peora. Match it with an LBD or an off-shoulder gown for a show-stopping, glamorous look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Jewellery set consisting of a necklace and earrings<br/>Rhodium plated necklace, crystal studded floral design with a pearl dangling from the centre, has a lobster clasp closure<br/>Rhodium plated, matching earrings with crystal studded floral design on top and pearl dangling below, has post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Sterling silver, rhodium plated, CZ stones, pearls<br/>Wipe gently with a chamois cloth or a leather swatch after use</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 37 cm<br/>Centre piece length: 3 cm<br/>Length of earrings: 3.3 cm</p></li></ul>,25:02:2014,None
None,Peora Rhodium Plated Jewellery Set,http://www.myntra.com/Jewellery-Set/Peora/Peora-Rhodium-Plated-Jewellery-Set/187323/buy,Rs. 4,200,women-jewellery,Jewellery,Peora,http://myntra.myntassets.com/images/style/properties/Peora-Women-Necklace_c740ee0a0042294b4cac6fdb5e84da60_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Jewellery-Set/Peora/Peora-Rhodium-Plated-Jewellery-Set/187323/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Set the night on fire and become the cynosure of all eyes with this gorgeous jewellery set by Peora. Match it with an LBD or an off-shoulder gown for a show-stopping, glamorous look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Jewellery set consisting of a necklace and earrings<br/>Rhodium plated necklace, spikes with crystal studded detail, has a lobster clasp closure<br/>Rhodium plated, matching earrings with crystal studded spike detailing, has post and back closure<br/>Warranty: 1 year</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Sterling silver, rhodium plated, CZ stones<br/>Wipe gently with a chamois cloth or a leather swatch after use</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 40 cm<br/>Centre piece length: 1.5 cm<br/>Length of earrings: 2 cm</p></li></ul>,25:02:2014,None
None,Peora Gold Plated Jewellery Set,http://www.myntra.com/Jewellery-Set/Peora/Peora-Gold-Plated-Jewellery-Set/187324/buy,Rs. 4,200,women-jewellery,Jewellery,Peora,http://myntra.myntassets.com/images/style/properties/Peora-Women-Necklace_ca96b35dcc1eb72bcd5d7b1c5a12907a_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Jewellery-Set/Peora/Peora-Gold-Plated-Jewellery-Set/187324/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Set the night on fire and become the cynosure of all eyes with this gorgeous jewellery set by Peora. Match it with an LBD or an off-shoulder gown for a show-stopping, glamorous look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Jewellery set consisting of a necklace and earrings<br/>Gold plated necklace, has crystal studded design with an intricately floral detail at the centre, has a lobster clasp closure<br/>Gold plated, matching earrings with crystal studded curved design, has post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Sterling silver, 18 karat gold plating, CZ stones<br/>Wipe gently with a chamois cloth or a leather swatch after use</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 40 cm<br/>Centre piece length: 4 cm<br/>Length of earrings: 2 cm</p></li></ul>,25:02:2014,None
None,Peora Rhodium Plated Jewellery Set,http://www.myntra.com/Jewellery-Set/Peora/Peora-Rhodium-Plated-Jewellery-Set/187337/buy,Rs. 5,700,women-jewellery,Jewellery,Peora,http://myntra.myntassets.com/images/style/properties/Peora-Women-Necklace_f0bc6297c503dee68a4f1685787c2b9f_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Jewellery-Set/Peora/Peora-Rhodium-Plated-Jewellery-Set/187337/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Set the night on fire and become the cynosure of all eyes with this gorgeous jewellery set by Peora. Match it with an LBD or an off-shoulder gown for a show-stopping, glamorous look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Jewellery set consisting of a necklace and earrings<br/>Rhodium plated necklace, oval crystal studded detail, has a lobster clasp closure<br/>Rhodium plated, matching earrings with crystal studded oval detailing, has post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Sterling silver, rhodium plated, CZ stones<br/>Wipe gently with a chamois cloth or a leather swatch after use</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 40 cm<br/>Centre piece length: 1 cm<br/>Length of earrings: 4 cm</p></li></ul>,25:02:2014,None
None,Peora Gold Plated Jewellery Set,http://www.myntra.com/Jewellery-Set/Peora/Peora-Gold-Plated-Jewellery-Set/187335/buy,Rs. 4,800,women-jewellery,Jewellery,Peora,http://myntra.myntassets.com/images/style/properties/Peora-Women-Necklace_16fe7d5bfe51b9ab247062011938c3c6_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Jewellery-Set/Peora/Peora-Gold-Plated-Jewellery-Set/187335/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Set the night on fire and become the cynosure of all eyes with this gorgeous jewellery set by Peora. Match it with an LBD or an off-shoulder gown for a show-stopping, glamorous look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Jewellery set consisting of a necklace and earrings<br/>Gold plated necklace, has crystal studded design with an inticately cut-out detail at centre that has pearls and crystals dangling from it, has a lobster clasp closure<br/>Gold plated, matching earrings with crystal studded cut-out detail on top and pearls dangling beneath, has post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Sterling silver, 18 karat gold plating, CZ stones, pearls<br/>Wipe gently with a chamois cloth or a leather swatch after use</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of necklace: 44 cm<br/>Centre piece length: 5 cm<br/>Length of earrings: 3 cm</p></li></ul>,25:02:2014,None
None,Peora Rhodium Plated Pendant,http://www.myntra.com/Pendant/Peora/Peora-Rhodium-Plated-Pendant/187414/buy,Rs. 950,women-jewellery,Jewellery,Peora,http://myntra.myntassets.com/images/style/properties/Peora-Women-Pendant_e375d5f0310c5c4442ae36fc0df16acb_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Pendant/Peora/Peora-Rhodium-Plated-Pendant/187414/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a touch of elegance to your daily look with this delicate pendant from Peora. We suggest that you showcase this gorgeous piece in a scooped neck top or dress.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Rhodium plated, circular pendant with crystal studded detail<br/>Warranty: 1 year</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Sterling silver, rhodium plating, CZ stones<br/>Wipe gently with a chamois cloth or a leather swatch after use</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of pendant: 1.3 cm</p></li></ul>,25:02:2014,None
