None,Morrio Women Dark Pink Cotton Stretch Leggings,http://www.myntra.com/leggings/morrio/morrio-women-dark-pink-cotton-stretch-leggings/164810/buy,Rs. 375,women-leggings-capris,Leggings & Capris,Shree,http://myntra.myntassets.com/images/style/properties/Morrio-Women-Leggings_97b8ed16e98237c8a4472d88d965ef15_images_1080_1440_mini.jpg,Rs. 469,None,women,http://www.myntra.com/leggings/morrio/morrio-women-dark-pink-cotton-stretch-leggings/164810/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32', '34'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>What's a girl's wardrobe without leggings to match her tunics and kurtas! Morrio brings to you leggings in varied hues to match your every taste. Team this pair with outifts that need a splash of colour and brighten up your day.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Dark pink churidar leggings with an elasticated waistband, ankle length</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% cotton, 5% Spandex<br/>Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 5'8'' and waist 28'') is wearing a size M</p></li></ul>,25:02:2014,None
None,Fabnesia Women Red Cotton Stretch Leggings,http://www.myntra.com/leggings/fabnesia/fabnesia-women-red-cotton-stretch-leggings/233448/buy,Rs. 379,women-leggings-capris,Leggings & Capris,Shree,http://myntra.myntassets.com/images/style/properties/Fabnesia-Women-Red-Cotton-Stretch-Leggings_f56a4845b7647ebf0b4659a1c9b9fa5c_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/leggings/fabnesia/fabnesia-women-red-cotton-stretch-leggings/233448/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Embrace style with this chic piece from Fabnesia. Its bamboo cotton fabric will keep you comfortable all day long and keeps sweat at bay. Team it up with a cute tunic or a printed top for best results.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red leggings with moisture wicking technology, offers UV protection of UPF 50+, knitted, has an elasticated waistband, tapered hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% cotton, 5% Lycra<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Cottinfab Women Black & Blue Printed Leggings,http://www.myntra.com/leggings/cottinfab/cottinfab-women-black-blue-printed-leggings/211715/buy,Rs. 549,women-leggings-capris,Leggings & Capris,Shree,http://myntra.myntassets.com/images/style/properties/Cottinfab-Women-Black-&-Blue-Printed-Leggings_091e95f269db3cc59fa8516265de6a2e_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/leggings/cottinfab/cottinfab-women-black-blue-printed-leggings/211715/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair of leggings from Cottinfab is a wardrobe must-have, thanks to its elegant design. Pair it with simple tops or kurtis, and flip-flops for a casual look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black, blue, green and mustard yellow printed leggings, knitted, panelled, has an elasticated waist, tapered legs, has lining attached at front till thigh</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% viscose, 35% cotton<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,W Women Black Cotton Churidar Leggings,http://www.myntra.com/leggings/w/w-women-black-cotton-churidar-leggings/238446/buy,Rs. 599,women-leggings-capris,Leggings & Capris,Shree,http://myntra.myntassets.com/images/style/properties/W-Women-Black-Cotton-Churidar-Leggings_6591d230fc7801e50ba51e836254eefb_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/leggings/w/w-women-black-cotton-churidar-leggings/238446/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>W offers their new range of soft cotton plain leggings in myriad colours to appease your sensibilities. The versatility of this piece is endless as you can team it over tunics or kurtas to be comfortable and stylish at the same time.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black churidar leggings, knit, elasticated waistband with drawstring, tapering legs with brand tag at left hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Hand wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size S</p></li></ul>,25:02:2014,None
None,Roadster Women Navy Blue Capris,http://www.myntra.com/capris/roadster/roadster-women-navy-blue-capris/220336/buy,Rs. 899,women-leggings-capris,Leggings & Capris,Shree,http://myntra.myntassets.com/images/style/properties/Roadster-Women-Dark-Blue-Capris_93ac68d4769820ef0905bb0d929ac4e7_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/capris/roadster/roadster-women-navy-blue-capris/220336/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32', '34'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Be comfortably chic for summer in these denim capris by Roadster. Pair these with a flowy tunic for a fabulous after-hours look, or with a rocker tee if your'e going afternoon shopping with the girls.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy blue denim capris, has 2 scoop pockets at front, with a change pocket at right, button and zip closure at front, waistband with belt loops, patch pockets with embroidery detail at back, brand patch on waistband at back</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>73% cotton, 25% polyester, 2% elastane<br/>Machine wash warm</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Super skinny fit, mid rise<br/>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Fabnesia Women Green Cotton Stretch Leggings,http://www.myntra.com/leggings/fabnesia/fabnesia-women-green-cotton-stretch-leggings/233455/buy,Rs. 379,women-leggings-capris,Leggings & Capris,Shree,http://myntra.myntassets.com/images/style/properties/Fabnesia-Women-Green-Cotton-Stretch-Leggings_fbf33009a7553a32cf3b09e5c130f64d_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/fabnesia/fabnesia-women-green-cotton-stretch-leggings/233455/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Embrace style with this chic piece from Fabnesia. Its bamboo cotton fabric will keep you comfortable all day long and keeps sweat at bay. Team it up with a cute tunic or a printed top for best results.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green leggings with moisture wicking technology, offers UV protection of UPF 50+, knitted, has an elasticated waistband, tapered hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% cotton, 5% Lycra<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Fabnesia Women Green Cotton Stretch Leggings,http://www.myntra.com/leggings/fabnesia/fabnesia-women-green-cotton-stretch-leggings/233454/buy,Rs. 379,women-leggings-capris,Leggings & Capris,Shree,http://myntra.myntassets.com/images/style/properties/Fabnesia-Women-Green-Cotton-Stretch-Leggings_d480f1d5dec5afc3111b668538c274ce_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/fabnesia/fabnesia-women-green-cotton-stretch-leggings/233454/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Embrace style with this chic piece from Fabnesia. Its bamboo cotton fabric will keep you comfortable all day long and keeps sweat at bay. Team it up with a cute tunic or a printed top for best results.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green leggings with moisture wicking technology, offers UV protection of UPF 50+, knitted, has an elasticated waistband, tapered hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% cotton, 5% Lycra<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,W Women White Cotton Churidar Leggings,http://www.myntra.com/leggings/w/w-women-white-cotton-churidar-leggings/238460/buy,Rs. 599,women-leggings-capris,Leggings & Capris,Shree,http://myntra.myntassets.com/images/style/properties/W-Women-White-Cotton-Leggings_10375cbaa4151a61f9ca1e0c6fb8a8a1_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/w/w-women-white-cotton-churidar-leggings/238460/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>W offers their new range of soft cotton plain leggings in myriad colours to appease your sensibilities. The versatility of this piece is endless as you can team it over tunics or kurtas to be comfortable and stylish at the same time.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>White leggings, knit, elasticated waistband with drawstring, tapering legs with brand tag at left hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Machine wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size S</p></li></ul>,25:02:2014,None
None,Cottinfab Women Black Capri Leggings,http://www.myntra.com/leggings/cottinfab/cottinfab-women-black-capri-leggings/211731/buy,Rs. 799,women-leggings-capris,Leggings & Capris,Shree,http://myntra.myntassets.com/images/style/properties/Cottinfab-Women-Black-Capri-Leggings_b87c1e3058be8174f370a0282ecd422f_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/cottinfab/cottinfab-women-black-capri-leggings/211731/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stretchy and soft, this basic pair of capri leggings from Cottinfab is versatile enough to complement casual separates. Team it under a solid coloured tee and ballet flats for maximum effect.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black capri leggings, knit, elasticated waistband, tapered hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% viscose, 35% cotton<br/>Machine wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Cottinfab Women Grey & Black Printed Leggings,http://www.myntra.com/leggings/cottinfab/cottinfab-women-grey-black-printed-leggings/211725/buy,Rs. 549,women-leggings-capris,Leggings & Capris,Shree,http://myntra.myntassets.com/images/style/properties/Cottinfab-Women-Grey-&-Black-Panelled-Viscose-Leggings_578e4d0118bedb5cb804aca476233b68_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/cottinfab/cottinfab-women-grey-black-printed-leggings/211725/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Cottinfab brings out a new collection just in time to update your wardrobe for the season. These leggings are a bold style that will look fab teamed with an oversized tee and canvas trainers.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey, black and red leggings, elasticated waistband, textured printed panel at front legs, solid back</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% viscose, 35% cotton<br/>Hand wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
