None,York Women Bellisimo Perfume,http://www.myntra.com/Perfumes/York/York-Women-Bellisimo-Perfume/68837/buy,Rs. 530,women-cosmetics-perfumes,Cosmetics & Perfumes,York,http://myntra.myntassets.com/images/style/properties/York-Women-Perfume_a83ed40ddbb29d1b50d4b044a8b120dc_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Perfumes/York/York-Women-Bellisimo-Perfume/68837/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Perfumes are an indulgence, and if you are one of those who loves to indulge, then York is for you. Long lasting, fresh fragrances that keep you feeling and smelling great all day, this is a definite keeper.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><a href="../york">york</a> Bellisimo is a spray perfume for women which comes in a innovative flask</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>100 ml</p></li></ul>,25:02:2014,None
None,York Women Sweet Dream Perfume,http://www.myntra.com/Perfumes/York/York-Women-Sweet-Dream-Perfume/114776/buy,Rs. 450,women-cosmetics-perfumes,Cosmetics & Perfumes,York,http://myntra.myntassets.com/images/style/properties/York-Women-Perfumes_d1193462e694124af1620986f98fa4aa_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Perfumes/York/York-Women-Sweet-Dream-Perfume/114776/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Sweet Dream by York is a fresh frutty fragrance with initial notes of pineapple, black currant,  mango and red apple, and  final notes of sandalwood and musk. The water drop-shaped bottle makes it  very cute and loveable.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Sweet Dream EDT for women, comes in a glass flacon with an easy aerosol spray</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Do not spray near fire, flame or heat<br/>Avoid spraying into <a href="eyes">eyes</a></p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>75 ml</p></li></ul>,25:02:2014,None
None,York Women Betty Perfume,http://www.myntra.com/Perfumes/York/York-Women-Betty-Perfume/46946/buy,Rs. 960,women-cosmetics-perfumes,Cosmetics & Perfumes,York,http://myntra.myntassets.com/images/style/properties/2ef37657e161f59256931d367cbedd51_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Perfumes/York/York-Women-Betty-Perfume/46946/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/><a href="../york-perfumes">york perfumes</a> are known for its sophisticated <a href="../fragrances">fragrances</a> and it's value for money. No ensemble is complete without the right fragrance and <a href="../york">york</a> has a flavor for every season. Emit the aura of a <a href="../diva">diva</a> without burning a hole in your pocket. Encased in a delectable flacon, this perfume is a wardrobe essential this summer. <br/><br/><strong>Product Details</strong><br/>Inspired from the Archies comics, Betty for women by York comes in a glass flacon. Comes with a pair of heart shaped <a href="../earrings">earrings</a> that dangle from a fish hook clasp<br/><br/><strong>Caution</strong><br/>Do not spray near fire, flame or heat<br/>Avoid spraying on <a href="../eyes">eyes</a><br/><br/><strong>Size</strong><br/>100 ml</p></li></ul>,25:02:2014,None
None,York Women Bellisimo Illusion Perfume,http://www.myntra.com/Perfumes/York/York-Women-Bellisimo-Illusion-Perfume/68838/buy,Rs. 530,women-cosmetics-perfumes,Cosmetics & Perfumes,York,http://myntra.myntassets.com/images/style/properties/York-Women-Perfume_67b40b894ffec0f499cd58e7aa64208a_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Perfumes/York/York-Women-Bellisimo-Illusion-Perfume/68838/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Remain refreshingly fresh and feel good with this luxurious perfume from York. The right blend of various scents makes it easy to love.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><a href="../york">york</a> Bellisimo Illusion is a spray perfume for women which comes in an elegant innovative flask</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>100 ml</p></li></ul>,25:02:2014,None
None,York Women Veronica Perfume,http://www.myntra.com/Perfumes/York/York-Women-Veronica-Perfume/46947/buy,Rs. 960,women-cosmetics-perfumes,Cosmetics & Perfumes,York,http://myntra.myntassets.com/images/style/properties/954a52aca287795fda4a264c52b5b34c_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Perfumes/York/York-Women-Veronica-Perfume/46947/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/><a href="../york-perfumes">york perfumes</a> are known for its sophisticated <a href="../fragrances">fragrances</a> and it's value for money. No ensemble is complete without the right fragrance and <a href="../york">york</a> has a flavor for every season. Emit the aura of a <a href="../diva">diva</a> without burning a hole in your pocket. Encased in a delectable flacon, this perfume is a wardrobe essential this summer. <br/><br/><strong>Product Details</strong><br/>Inspired from the Archies comics, Veronica for women by York comes in a curvy glass flacon. Comes with a pair of heart shaped <a href="../earrings">earrings</a> that dangle from a fish hook clasp<br/><br/><strong>Caution</strong><br/>Do not spray near fire, flame or heat<br/>Avoid spraying on <a href="../eyes">eyes</a><br/><br/><strong>Size</strong><br/>100 ml</p></li></ul>,25:02:2014,None
