None,Lucera Women Silver Earrings,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48644/buy,Rs. 2,625,sale-women-accessories,Accessories,Lucera,http://myntra.myntassets.com/images/style/properties/010925993fb7401edf3f8db1af4523fb_images_1080_1440_mini.jpg,Rs. 3,750,None,sale,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48644/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or â &amp;euro &amp;tilde luminous starâ &amp;euro &amp;trade  in Spanish, is designed for fashionistas who like to shine! Lucera fashion jewellery offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today. What makes these earrings a must buy is the fact that these earrings are easily paired and will match most of the outfits in your wardrobe in elegance and style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver coloured <a href="../earrings">earrings</a><br/>Two strings of CZ diamonds<br/>Push back closure<br/></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver and CZ diamonds<br/>Wipe with a cotton swab when needed</p></li></ul>,26:02:2014,None
None,Lucera Women Silver Earrings,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48613/buy,Rs. 3,308,sale-women-accessories,Accessories,Lucera,http://myntra.myntassets.com/images/style/properties/a13d2f2117212b899fcc8a678a64b46e_images_1080_1440_mini.jpg,Rs. 4,725,None,sale,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48613/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or &amp; lsquo luminous star&amp; rsquo  in Spanish, is designed for fashionistas  who like to shine! Lucera fashion jewellery offers contemporary designs  to complement the various moods of the modern and fashion conscious  woman of today. What makes these earrings a must buy is the fact that  these earrings are easily paired and will match most of the outfits in  your wardrobe in elegance and style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver <a href="../earrings">earrings</a><br/>Silver hoops with crystal insets on the outside in front <br/>Lever back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver and crystal<br/>Wipe with a cotton swab when needed</p></li></ul>,26:02:2014,None
None,Lucera Women Silver Earrings,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48647/buy,Rs. 1,855,sale-women-accessories,Accessories,Lucera,http://myntra.myntassets.com/images/style/properties/e11068d44cd46249220ccfde86ddca81_images_1080_1440_mini.jpg,Rs. 2,650,None,sale,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48647/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or â &amp;euro &amp;tilde luminous starâ &amp;euro &amp;trade  in Spanish, is designed for fashionistas who like to shine! Lucera fashion jewellery offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today. What makes these earrings a must buy is the fact that these earrings are easily paired and will match most of the outfits in your wardrobe in elegance and style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver coloured <a href="../earrings">earrings</a><br/>Single string of CZ diamonds<br/>Push back closure<br/></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver and CZ diamonds<br/>Wipe with a cotton swab when needed</p></li></ul>,26:02:2014,None
None,Lucera Women Silver Pendant with Chain,http://www.myntra.com/Pendant/Lucera/Lucera-Women-Silver-Pendant-with-Chain/48911/buy,Rs. 1,698,sale-women-accessories,Accessories,Lucera,http://myntra.myntassets.com/images/style/properties/689ceb9bdda2404dc4bc1576c3a6d518_images_1080_1440_mini.jpg,Rs. 2,425,None,sale,http://www.myntra.com/Pendant/Lucera/Lucera-Women-Silver-Pendant-with-Chain/48911/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/><a href="../lucera">lucera</a>, or &amp; lsquo luminous star&amp; rsquo  in Spanish, is designed for fashionistas who like to shine! Lucera fashion <a href="../jewellery">jewellery</a> offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today.<br/><br/><strong>Product Details</strong><br/>A silver <a href="../pendant">pendant</a> with CZ diamonds and a golden coloured stone in the centre    <br/>Comes with a <a href="../chain">chain</a> and its design might slightly vary<br/><strong><br/>Material and Care</strong><br/>Silver<br/>Wipe with a damp swob to remove dust <br/></p></li></ul>,26:02:2014,None
None,Lucera Silver Ring,http://www.myntra.com/Ring/Lucera/Lucera-Silver-Ring/59456/buy,Rs. 5,215,sale-women-accessories,Accessories,Lucera,http://myntra.myntassets.com/images/style/properties/Lucera-Silver-Ring_2abd5a234317a2dadf0873ac12c55529_images_1080_1440_mini.jpg,Rs. 7,450,None,sale,http://www.myntra.com/Ring/Lucera/Lucera-Silver-Ring/59456/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Make this ring your sartorial signature on a monochrome look - fashion addicts will love its unique styling. A season pick-me-up, style this with tonal jewellery and keep wrist jewellery to a minimum to bring out the sparkle of this piece to maximum effect</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Thick silver band with black and white stones encrusted in a yin-yang style</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Crystals, silver<br/> Wipe with a cotton swab to remove dust</p></li></ul>,26:02:2014,None
None,Lucera Women Silver Pendant with Chain,http://www.myntra.com/Pendant/Lucera/Lucera-Women-Silver-Pendant-with-Chain/48906/buy,Rs. 1,698,sale-women-accessories,Accessories,Lucera,http://myntra.myntassets.com/images/style/properties/21492f9cb829d7f2831e44eb285540f7_images_1080_1440_mini.jpg,Rs. 2,425,None,sale,http://www.myntra.com/Pendant/Lucera/Lucera-Women-Silver-Pendant-with-Chain/48906/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/><a href="../lucera">lucera</a>, or &amp; lsquo luminous star&amp; rsquo  in Spanish, is designed for fashionistas who like to shine! Lucera fashion <a href="../jewellery">jewellery</a> offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today.<br/><br/><strong>Product Details</strong><br/>A silver <a href="../pendant">pendant</a> with CZ diamonds and a floral shaped dangler<br/>Comes with a <a href="../chain">chain</a> and its design may slightly vary<br/>    <br/><strong>Material and Care</strong><br/>Silver<br/>Wipe with a damp swob to remove dust</p></li></ul>,26:02:2014,None
None,Lucera Women Silver Earrings,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48647/buy,Rs. 1,855,sale-women-accessories,Accessories,Lucera,http://myntra.myntassets.com/images/style/properties/e11068d44cd46249220ccfde86ddca81_images_1080_1440_mini.jpg,Rs. 2,650,None,sale,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48647/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or â &amp;euro &amp;tilde luminous starâ &amp;euro &amp;trade  in Spanish, is designed for fashionistas who like to shine! Lucera fashion jewellery offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today. What makes these earrings a must buy is the fact that these earrings are easily paired and will match most of the outfits in your wardrobe in elegance and style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver coloured <a href="../earrings">earrings</a><br/>Single string of CZ diamonds<br/>Push back closure<br/></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver and CZ diamonds<br/>Wipe with a cotton swab when needed</p></li></ul>,26:02:2014,None
None,Lucera Women Silver Earrings,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48613/buy,Rs. 3,308,sale-women-accessories,Accessories,Lucera,http://myntra.myntassets.com/images/style/properties/a13d2f2117212b899fcc8a678a64b46e_images_1080_1440_mini.jpg,Rs. 4,725,None,sale,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48613/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or &amp; lsquo luminous star&amp; rsquo  in Spanish, is designed for fashionistas  who like to shine! Lucera fashion jewellery offers contemporary designs  to complement the various moods of the modern and fashion conscious  woman of today. What makes these earrings a must buy is the fact that  these earrings are easily paired and will match most of the outfits in  your wardrobe in elegance and style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver <a href="../earrings">earrings</a><br/>Silver hoops with crystal insets on the outside in front <br/>Lever back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver and crystal<br/>Wipe with a cotton swab when needed</p></li></ul>,26:02:2014,None
None,Lucera Women Silver Pendant with Chain,http://www.myntra.com/Pendant/Lucera/Lucera-Women-Silver-Pendant-with-Chain/48906/buy,Rs. 1,698,sale-women-accessories,Accessories,Lucera,http://myntra.myntassets.com/images/style/properties/21492f9cb829d7f2831e44eb285540f7_images_1080_1440_mini.jpg,Rs. 2,425,None,sale,http://www.myntra.com/Pendant/Lucera/Lucera-Women-Silver-Pendant-with-Chain/48906/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/><a href="../lucera">lucera</a>, or &amp; lsquo luminous star&amp; rsquo  in Spanish, is designed for fashionistas who like to shine! Lucera fashion <a href="../jewellery">jewellery</a> offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today.<br/><br/><strong>Product Details</strong><br/>A silver <a href="../pendant">pendant</a> with CZ diamonds and a floral shaped dangler<br/>Comes with a <a href="../chain">chain</a> and its design may slightly vary<br/>    <br/><strong>Material and Care</strong><br/>Silver<br/>Wipe with a damp swob to remove dust</p></li></ul>,26:02:2014,None
None,Lucera Women Silver Earrings,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48644/buy,Rs. 2,625,sale-women-accessories,Accessories,Lucera,http://myntra.myntassets.com/images/style/properties/010925993fb7401edf3f8db1af4523fb_images_1080_1440_mini.jpg,Rs. 3,750,None,sale,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48644/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or â &amp;euro &amp;tilde luminous starâ &amp;euro &amp;trade  in Spanish, is designed for fashionistas who like to shine! Lucera fashion jewellery offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today. What makes these earrings a must buy is the fact that these earrings are easily paired and will match most of the outfits in your wardrobe in elegance and style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver coloured <a href="../earrings">earrings</a><br/>Two strings of CZ diamonds<br/>Push back closure<br/></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver and CZ diamonds<br/>Wipe with a cotton swab when needed</p></li></ul>,26:02:2014,None
