None,Roadster Women Pack of 2 Leggings,http://www.myntra.com/leggings/roadster/roadster-women-pack-of-2-leggings/219287/buy,Rs. 599,women-leggings-capris,Leggings & Capris,Reebok,http://myntra.myntassets.com/images/style/properties/Roadster-Women-Red-&-Blue-Pack-of-2-Leggings_9e75872464ee8c70494b579d718b8d82_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/roadster/roadster-women-pack-of-2-leggings/219287/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32', '34'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Revel in the comfort of this pair of Roadster leggings and make this piece a must-have for your casual wear wardrobe. We suggest that you team it with a printed top or a tunic for a trendy look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pack of two leggings<br/>Red and blue leggings, knit, have elasticated waistband</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>97% cotton, 3% elastane<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Roadster Women Navy Blue Capris,http://www.myntra.com/capris/roadster/roadster-women-navy-blue-capris/220336/buy,Rs. 899,women-leggings-capris,Leggings & Capris,Reebok,http://myntra.myntassets.com/images/style/properties/Roadster-Women-Dark-Blue-Capris_93ac68d4769820ef0905bb0d929ac4e7_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/capris/roadster/roadster-women-navy-blue-capris/220336/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32', '34'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Be comfortably chic for summer in these denim capris by Roadster. Pair these with a flowy tunic for a fabulous after-hours look, or with a rocker tee if your'e going afternoon shopping with the girls.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Navy blue denim capris, has 2 scoop pockets at front, with a change pocket at right, button and zip closure at front, waistband with belt loops, patch pockets with embroidery detail at back, brand patch on waistband at back</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>73% cotton, 25% polyester, 2% elastane<br/>Machine wash warm</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Super skinny fit, mid rise<br/>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Morrio Women Pink Cotton Stretch Leggings,http://www.myntra.com/leggings/morrio/morrio-women-pink-cotton-stretch-leggings/164855/buy,Rs. 319,women-leggings-capris,Leggings & Capris,Reebok,http://myntra.myntassets.com/images/style/properties/Morrio-Women-Pink-Cotton-Stretch-Leggings_a9968d96b20a96f2fd11f5db6f593e11_images_1080_1440_mini.jpg,Rs. 399,None,women,http://www.myntra.com/leggings/morrio/morrio-women-pink-cotton-stretch-leggings/164855/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32', '34'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Morrio offers their new range of soft cotton leggings in myriad colours to appease your sensibilities. You can team this comfortable and stylish piece with ethnic kurtas for a traditional day look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pink ankle length leggings, knit, elasticated waistband</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% cotton, 5% Spandex<br/>Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Straight fit<br/>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Fabnesia Women Red Cotton Stretch Leggings,http://www.myntra.com/leggings/fabnesia/fabnesia-women-red-cotton-stretch-leggings/233448/buy,Rs. 379,women-leggings-capris,Leggings & Capris,Reebok,http://myntra.myntassets.com/images/style/properties/Fabnesia-Women-Red-Cotton-Stretch-Leggings_f56a4845b7647ebf0b4659a1c9b9fa5c_images_1080_1440.JPG,None,None,women,http://www.myntra.com/leggings/fabnesia/fabnesia-women-red-cotton-stretch-leggings/233448/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Embrace style with this chic piece from Fabnesia. Its bamboo cotton fabric will keep you comfortable all day long and keeps sweat at bay. Team it up with a cute tunic or a printed top for best results.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red leggings with moisture wicking technology, offers UV protection of UPF 50+, knitted, has an elasticated waistband, tapered hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% cotton, 5% Lycra<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,United Colors of Benetton Women Grey Leggings,http://www.myntra.com/leggings/united-colors-of-benetton/united-colors-of-benetton-women-grey-leggings/230260/buy,Rs. 799,women-leggings-capris,Leggings & Capris,Reebok,http://myntra.myntassets.com/images/style/properties/United-Colors-Of-Benetton-Women-Grey-Leggings_149b642d437d6a2311f117b1d05b8d07_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/leggings/united-colors-of-benetton/united-colors-of-benetton-women-grey-leggings/230260/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Revel in the comfort of this pair of leggings from UCB and make this piece a must-have for your casual wear wardrobe. We suggest that you team it with a printed top or a tunic for a trendy look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey stretchable leggings, knit, has an elasticated waist band, tapered hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>93% cotton and 7% elastane<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Cottinfab Women Multi-Coloured Printed Leggings,http://www.myntra.com/leggings/cottinfab/cottinfab-women-multi-coloured-printed-leggings/211719/buy,Rs. 549,women-leggings-capris,Leggings & Capris,Reebok,http://myntra.myntassets.com/images/style/properties/Cottinfab-Women-Multi-Coloured-Printed-Leggings_aece2092f59d138bf71891393dde78e6_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/leggings/cottinfab/cottinfab-women-multi-coloured-printed-leggings/211719/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Cottinfab offers their new range of soft cotton stretch leggings in myriad colours to appease your sensibilities. The versatility of this piece is endless as you can team it over tunics or kurtas to be comfortable and stylish at the same time.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Multi-coloured printed leggings, knit, elasticated waistband, print at front with a solid back, has a tapering hem, has an attached lining till thigh</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% viscose, 35% cotton <br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Morrio Women Aqua Green Cotton Stretch Leggings,http://www.myntra.com/leggings/morrio/morrio-women-aqua-green-cotton-stretch-leggings/164836/buy,Rs. 319,women-leggings-capris,Leggings & Capris,Reebok,http://myntra.myntassets.com/images/style/properties/Morrio-Women-Aqua-Green-Cotton-Stretch-Leggings_1e2a5b6a11a20bded3aba5ed047d2af4_images_1080_1440_mini.jpg,Rs. 399,None,women,http://www.myntra.com/leggings/morrio/morrio-women-aqua-green-cotton-stretch-leggings/164836/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32', '34'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Morrio offers their new range of soft cotton leggings in myriad colours to appease your sensibilities. You can team this comfortable and stylish piece with ethnic kurtas for a traditional day look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Aqua green ankle length leggings, knit, elasticated waistband</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% cotton, 5% Spandex<br/>Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Straight fit<br/>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,Morrio Women Mustard Yellow Printed Cotton Stretch Churidar Leggings,http://www.myntra.com/leggings/morrio/morrio-women-mustard-yellow-printed-cotton-stretch/164831/buy,Rs. 396,women-leggings-capris,Leggings & Capris,Reebok,http://myntra.myntassets.com/images/style/properties/Morrio-Women-Mustard-Yellow-Printed-Cotton-Stretch-Churidar-Leggings_b4530739c0e0cebdfd044008492ca5c8_images_1080_1440_mini.jpg,Rs. 495,None,women,http://www.myntra.com/leggings/morrio/morrio-women-mustard-yellow-printed-cotton-stretch/164831/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['26', '28', '30', '32', '34'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Morrio offers their new range of leggings in myriad colours to appease your sensibilities. You can team this comfortable and stylish piece with ethnic kurtas for a traditional look or a tunic for a cool casual one.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Mustard yellow printed churidar leggings, knitted, elasticated waistband, tapering hems that gather around the ankle</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>95% cotton, 5% Spandex<br/>Machine wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size M</p></li></ul>,25:02:2014,None
None,Cottinfab Women Black Capri Leggings,http://www.myntra.com/leggings/cottinfab/cottinfab-women-black-capri-leggings/211731/buy,Rs. 799,women-leggings-capris,Leggings & Capris,Reebok,http://myntra.myntassets.com/images/style/properties/Cottinfab-Women-Black-Capri-Leggings_b87c1e3058be8174f370a0282ecd422f_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/cottinfab/cottinfab-women-black-capri-leggings/211731/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32', '34', '36'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stretchy and soft, this basic pair of capri leggings from Cottinfab is versatile enough to complement casual separates. Team it under a solid coloured tee and ballet flats for maximum effect.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black capri leggings, knit, elasticated waistband, tapered hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% viscose, 35% cotton<br/>Machine wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size 28</p></li></ul>,25:02:2014,None
None,W Women Orange Cotton Churidar Leggings,http://www.myntra.com/leggings/w/w-women-orange-cotton-churidar-leggings/238454/buy,Rs. 599,women-leggings-capris,Leggings & Capris,Reebok,http://myntra.myntassets.com/images/style/properties/W-Women-Orange-Cotton-Churidar-Leggings_16a948b56c3a27fbd7904473ff160f06_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/w/w-women-orange-cotton-churidar-leggings/238454/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>W offers their new range of soft cotton plain leggings in myriad colours to appease your sensibilities. The versatility of this piece is endless as you can team it over tunics or kurtas to be comfortable and stylish at the same time.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Orange leggings, knit, elasticated waistband with drawstring, tapering legs with brand tag at left hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Machine wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size S</p></li></ul>,25:02:2014,None
None,W Women Purple Cotton Knit Churidar Leggings,http://www.myntra.com/leggings/w/w-women-purple-cotton-knit-churidar-leggings/238458/buy,Rs. 599,women-leggings-capris,Leggings & Capris,Reebok,http://myntra.myntassets.com/images/style/properties/W-Women-Purple-Cotton-Knit-Churidar-Leggings_221b0e2f7a8b2de4c8c5a1f375ccff38_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/w/w-women-purple-cotton-knit-churidar-leggings/238458/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>W offers their new range of soft cotton leggings in a variety of colours just for you. The versatility of this piece is endless as you can team it over tunics or kurtas to be comfortable and stylish at the same time.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Purple leggings with stitch detail, knitted, elasticated waistband with inner drawstring fastening, tapering legs with brand tag at left hem</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Hand wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size S</p></li></ul>,25:02:2014,None
None,Anouk Women Green Printed Leggings,http://www.myntra.com/leggings/anouk/anouk-women-green-printed-leggings/207985/buy,Rs. 699,women-leggings-capris,Leggings & Capris,Reebok,http://myntra.myntassets.com/images/style/properties/Anouk-Women-Green-Printed-Leggings_8e1e83fc49cc30b244a253cbc0953cb4_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/leggings/anouk/anouk-women-green-printed-leggings/207985/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['28', '30', '32'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Tailored from a blend of cotton and Lycra, this pair of leggings from Anouk (our in-house brand) offers exemplary comfort and style to the modern Indian woman of today. Pair it with a cotton kurta for a day out with the girls.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green printed leggings, elasticated waistband, tapered legs</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Hand wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and waist 28") is wearing a size S</p></li></ul>,25:02:2014,None
