None,CAT Women Cream Strappy Lace Spaghetti Top,http://www.myntra.com/Tops/CAT/CAT-Women-Cream-Strappy-Lace-Spaghetti-Top/102085/buy,Rs. 1,199,lace-embrace,Lace,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Tshirts_8edb0d7626c4d9cae2f1950c5295e2a1_images_1080_1440_mini.jpg,None,None,lace,http://www.myntra.com/Tops/CAT/CAT-Women-Cream-Strappy-Lace-Spaghetti-Top/102085/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This cream spaghetti top from Cat mixes feminine details with casual styling which gives it a unique touch. Wear it with frayed denim shorts and flat pumps for a laidback cool look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Cream spaghetti top with a V neck, spaghetti straps, lacing along the neck and straps, lace trims around the neck on the front with a keyhole and button and loop detail, brand badge at the back<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc..<br/><br/></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% polyester, 35% viscose<br/> Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/> The model (height 5'8'' and chest 33'') is wearing a size S</p></li></ul>,26:02:2014,None
None,CAT Women Mauve Lace Ribbon Top,http://www.myntra.com/Tops/CAT/CAT-Women-Mauve-Lace-Ribbon-Top/102081/buy,Rs. 1,499,lace-embrace,Lace,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Tshirts_e764f22a78597393f2a14adda49037e8_images_1080_1440_mini.jpg,None,None,lace,http://www.myntra.com/Tops/CAT/CAT-Women-Mauve-Lace-Ribbon-Top/102081/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This mauve top from Cat mixes feminine details with casual styling which gives it a unique touch. Wear it with skinny fit denims and flat pumps for effortless cool.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Mauve top with a round neck with lacing and lace trims around it, short sleeves with ribbon tie-ups at the hem, brand badge at the back neck<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd. global licensees of Caterpillar Inc..</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% polyester, 35% viscose<br/> Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/> The model (height 5'8'' and chest 33'') is wearing a size S</p></li></ul>,26:02:2014,None
None,CAT Women Black Lace Racerback Tank Top,http://www.myntra.com/Tops/CAT/CAT-Women-Black-Lace-Racerback-Tank-Top/102083/buy,Rs. 1,299,lace-embrace,Lace,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Black-Lace-Racerback-Tank-Top_3a8f4c77292966bd74bea79eae200419_images_1080_1440_mini.jpg,None,None,lace,http://www.myntra.com/Tops/CAT/CAT-Women-Black-Lace-Racerback-Tank-Top/102083/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>CAT brings you their women's collection that is a mix of feminine detail and casual style, created for the modern girl. Team this lovely lace racer back tank with distressed boyfriend denims (rolled up at the hem) and canvas plimsolls  for a relaxed day look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black top in a slub knit, has a V neck, sleeveless, lace racer back panel with branding below</p><br/><p>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/> Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/> The model (height 5'8'' and bust 33'') is wearing a size S</p></li></ul>,26:02:2014,None
None,CAT Women Amethyst Pink Captain Lace Top,http://www.myntra.com/Tops/CAT/CAT-Women-Amethyst-Pink-Captain-Lace-Top/140136/buy,Rs. 1,899,lace-embrace,Lace,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Amethyst-Pink-Captain-Lace-Top_4ffafef7a648981d12f3257ddb75fd0f_images_1080_1440_mini.jpg,None,None,lace,http://www.myntra.com/Tops/CAT/CAT-Women-Amethyst-Pink-Captain-Lace-Top/140136/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This light pink top from CAT mixes feminine details with casual styling which gives it a unique touch. Wear it with skinny fit denims and flat pumps for an effortless cool look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Light pink woven top, spread collar with lace detail, full buttoned chest placket with tucks and lace panelling on either side, sleeveless, bust darts for flattering fit, pleated front and back, yoke at back with metal logo trim, lace panel along curved hem<br/>www.cat.com (c) 2013 Wolverine WorldWide. CAT, CATERPILLAR, their respective logos, "CaterpillarYellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited Grown-Up Licenses Ltd. global licensees of Caterpillar Inc..</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Original fit<br/>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,CAT Women Purple Strappy Lace Camisole Top,http://www.myntra.com/Tops/CAT/CAT-Women-Purple-Strappy-Lace-Camisole-Top/102086/buy,Rs. 1,199,lace-embrace,Lace,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Elderberry-Purple-Lace-Trimmed-Camisole-Top_2deb8b648540fde7997fa3eab80574dc_images_1080_1440_mini.jpg,None,None,lace,http://www.myntra.com/Tops/CAT/CAT-Women-Purple-Strappy-Lace-Camisole-Top/102086/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Created for the modern girl  CAT brings you their women's collection that is a mix of feminine detail and casual style. Offset this pretty lace trimmed camisole by pairing it with distressed boyfriend denims (rolled up at the hem) and studded thong sandals; for a balanced look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Elderberry purple camisole in a ribbed knit, has a V neck with lace trim, lace shoulder straps, keyhole with button and loop fastening on front, and brand label at back</p><p>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc..</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% polyester and 35% viscose<br/> Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/> The model (height 5'8'' and bust 33'') is wearing a size S</p></li></ul>,26:02:2014,None
None,CAT Women Red Lace Racerback Tank Top,http://www.myntra.com/Tops/CAT/CAT-Women-Red-Lace-Racerback-Tank-Top/102082/buy,Rs. 1,299,lace-embrace,Lace,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Red-Lace-Racerback-Tank-Top_246e42288e3facb465b3a34d86aebf15_images_1080_1440_mini.jpg,None,None,lace,http://www.myntra.com/Tops/CAT/CAT-Women-Red-Lace-Racerback-Tank-Top/102082/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>CAT brings you their women's collection that is a mix of feminine detail and casual style, created for the modern girl. Team this lovely lace racer back tank with distressed boyfriend denims (rolled up at the hem) and canvas plimsolls  for a relaxed day look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red top in a slub knit, has a V neck, sleeveless, lace racer back panel with branding below</p><br/><p>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc..</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/> Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/> The model (height 5'8'' and bust 33'') is wearing a size S</p></li></ul>,26:02:2014,None
None,CAT Women Cream Captain Lace Top,http://www.myntra.com/Tops/CAT/CAT-Women-Cream-Captain-Lace-Top/140135/buy,Rs. 1,899,lace-embrace,Lace,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Cream-Captain-Lace-Top_518fa1d780cff9e3ec3c6aebd221ecbd_images_1080_1440_mini.jpg,None,None,lace,http://www.myntra.com/Tops/CAT/CAT-Women-Cream-Captain-Lace-Top/140135/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['L'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This light cream top from CAT mixes feminine details with casual styling which gives it a unique touch. Wear it with skinny fit denims and flat pumps for an effortlessly cool look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Cream coloured woven top, spread collar with lace detail, full buttoned chest placket with tucks and lace panelling on either side, sleeveless, bust darts for flattering fit, pleated front and back, yoke at back with metal logo trim, lace panel along curved hem<br/>www.cat.com (c) 2013 Wolverine WorldWide. CAT, CATERPILLAR, their respective logos, "CaterpillarYellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited Grown-Up Licenses Ltd. global licensees of Caterpillar Inc..</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Original fit<br/>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,CAT Women Cream Lace Ribbon Top,http://www.myntra.com/Tops/CAT/CAT-Women-Cream-Lace-Ribbon-Top/102080/buy,Rs. 1,499,lace-embrace,Lace,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Cream-Lace-Ribbon-Top_fa7095678e50a2d1ce4657cba8878236_images_1080_1440_mini.jpg,None,None,lace,http://www.myntra.com/Tops/CAT/CAT-Women-Cream-Lace-Ribbon-Top/102080/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p><span style="font-family: tahoma, arial, helvetica, sans-serif;"><span style="font-size: 12px;">This cream top from Cat mixes feminine details with casual styling which gives it a unique touch. Wear it with skinny fit denims and flat pumps for effortless cool.</span></span></p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><span style="font-family: tahoma, arial, helvetica, sans-serif;"><span style="font-size: 12px;">Cream top with a round neck with  lacing and lace trims around it, short sleeves with ribbon tie-ups at the hem, brand badge at the back neck</span></span><br/><br/><span style="font-family: tahoma, arial, helvetica, sans-serif;"><span style="font-size: 12px;">www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp;  Accessories for Wolverine World Wide, SRI Limited &amp;  Grown-Up Licenses Ltd.  global licensees of Caterpillar Inc..</span></span></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% polyester, 35% viscose<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/>The model (height 5'8'' and chest 33'') is wearing a size S</p></li></ul>,26:02:2014,None
None,CAT Women Cream Strappy Lace Spaghetti Top,http://www.myntra.com/Tops/CAT/CAT-Women-Cream-Strappy-Lace-Spaghetti-Top/102085/buy,Rs. 1,199,lace-embrace,Lace,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Tshirts_8edb0d7626c4d9cae2f1950c5295e2a1_images_1080_1440_mini.jpg,None,None,lace,http://www.myntra.com/Tops/CAT/CAT-Women-Cream-Strappy-Lace-Spaghetti-Top/102085/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This cream spaghetti top from Cat mixes feminine details with casual styling which gives it a unique touch. Wear it with frayed denim shorts and flat pumps for a laidback cool look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Cream spaghetti top with a V neck, spaghetti straps, lacing along the neck and straps, lace trims around the neck on the front with a keyhole and button and loop detail, brand badge at the back<br/><br/>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc..<br/><br/></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% polyester, 35% viscose<br/> Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/> The model (height 5'8'' and chest 33'') is wearing a size S</p></li></ul>,26:02:2014,None
None,CAT Women Amethyst Pink Captain Lace Top,http://www.myntra.com/Tops/CAT/CAT-Women-Amethyst-Pink-Captain-Lace-Top/140136/buy,Rs. 1,899,lace-embrace,Lace,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Amethyst-Pink-Captain-Lace-Top_4ffafef7a648981d12f3257ddb75fd0f_images_1080_1440_mini.jpg,None,None,lace,http://www.myntra.com/Tops/CAT/CAT-Women-Amethyst-Pink-Captain-Lace-Top/140136/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This light pink top from CAT mixes feminine details with casual styling which gives it a unique touch. Wear it with skinny fit denims and flat pumps for an effortless cool look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Light pink woven top, spread collar with lace detail, full buttoned chest placket with tucks and lace panelling on either side, sleeveless, bust darts for flattering fit, pleated front and back, yoke at back with metal logo trim, lace panel along curved hem<br/>www.cat.com (c) 2013 Wolverine WorldWide. CAT, CATERPILLAR, their respective logos, "CaterpillarYellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited Grown-Up Licenses Ltd. global licensees of Caterpillar Inc..</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/>Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Original fit<br/>The model (height 5'8" and chest 33") is wearing a size S</p></li></ul>,26:02:2014,None
None,CAT Women Black Lace Racerback Tank Top,http://www.myntra.com/Tops/CAT/CAT-Women-Black-Lace-Racerback-Tank-Top/102083/buy,Rs. 1,299,lace-embrace,Lace,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Black-Lace-Racerback-Tank-Top_3a8f4c77292966bd74bea79eae200419_images_1080_1440_mini.jpg,None,None,lace,http://www.myntra.com/Tops/CAT/CAT-Women-Black-Lace-Racerback-Tank-Top/102083/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>CAT brings you their women's collection that is a mix of feminine detail and casual style, created for the modern girl. Team this lovely lace racer back tank with distressed boyfriend denims (rolled up at the hem) and canvas plimsolls  for a relaxed day look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black top in a slub knit, has a V neck, sleeveless, lace racer back panel with branding below</p><br/><p>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc.</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% cotton<br/> Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/> The model (height 5'8'' and bust 33'') is wearing a size S</p></li></ul>,26:02:2014,None
None,CAT Women Purple Strappy Lace Camisole Top,http://www.myntra.com/Tops/CAT/CAT-Women-Purple-Strappy-Lace-Camisole-Top/102086/buy,Rs. 1,199,lace-embrace,Lace,CAT,http://myntra.myntassets.com/images/style/properties/CAT-Women-Elderberry-Purple-Lace-Trimmed-Camisole-Top_2deb8b648540fde7997fa3eab80574dc_images_1080_1440_mini.jpg,None,None,lace,http://www.myntra.com/Tops/CAT/CAT-Women-Purple-Strappy-Lace-Camisole-Top/102086/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Created for the modern girl  CAT brings you their women's collection that is a mix of feminine detail and casual style. Offset this pretty lace trimmed camisole by pairing it with distressed boyfriend denims (rolled up at the hem) and studded thong sandals; for a balanced look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Elderberry purple camisole in a ribbed knit, has a V neck with lace trim, lace shoulder straps, keyhole with button and loop fastening on front, and brand label at back</p><p>www.cat.com (c) 2013 Wolverine World Wide. CAT, CATERPILLAR, their respective logos, "Caterpillar Yellow" and "Caterpillar Corporate Yellow", as well as corporate and product identity used herein, are trademarks of Caterpillar and may not be used without permission. Tata International Wolverine Brands Limited, distributor of Cat Footwear, Apparel &amp; Accessories for Wolverine World Wide, SRI Limited &amp; Grown-Up Licenses Ltd.; global licensees of Caterpillar Inc..</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>65% polyester and 35% viscose<br/> Machine wash cold</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Regular fit<br/> The model (height 5'8'' and bust 33'') is wearing a size S</p></li></ul>,26:02:2014,None
