None,Titan Women Red Leather Belt,http://www.myntra.com/Belts/Titan/Titan-Women-Red-Leather-Belt/155884/buy,Rs. 995,women-accessories-new-arrivals,Accessories,Titan,http://myntra.myntassets.com/images/style/properties/Titan-Women-Belts_0eb1806c9397eb577e20a7730a1575da_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Belts/Titan/Titan-Women-Red-Leather-Belt/155884/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Simple and elegant, this belt from Titan will elevate your style statement in the most modest manner. We recommend, you wear it with any dark solid coloured pants or skirts to highlight its make.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red, leather, braided belt <br/> Has a gold toned tang clasp closure and a loop to hold the tail in place <br/> Warranty: 6 months from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe gently using a dry cloth</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 2 cm</p></li></ul>,25:02:2014,None
None,Titan Women Green Dial Watch,http://www.myntra.com/Watches/Titan/Titan-Women-Green-Dial-Watch/178501/buy,Rs. 1,995,women-accessories-new-arrivals,Accessories,Titan,http://myntra.myntassets.com/images/style/properties/Titan-Women-Watches_3af2815b732516e555c1b27ae8510e52_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/Titan/Titan-Women-Green-Dial-Watch/178501/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This stylish watch from Titan, with classic, timeless styling is a must-have for every well dressed woman. Built with the utmost precision and individuality, each watch has been designed and carefully tested to give you years of reliable service and contemporary style for the woman of class.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel round case<br/>Dial style: Green dial, has orange hands and markings, and branding below the 12 hour mark<br/>Strap style: Green silicone strap with a tang clasp closure<br/>Features: Screw to reset the time<br/>Water resistant up to 30 metres<br/>Warranty: 2 years</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 40 mm<br/>Strap width: 20 mm</p></li></ul>,25:02:2014,None
None,Titan Women Mustard Yellow Leather Wallet,http://www.myntra.com/Wallets/Titan/Titan-Women-Mustard-Yellow-Leather-Wallet/155981/buy,Rs. 1,495,women-accessories-new-arrivals,Accessories,Titan,http://myntra.myntassets.com/images/style/properties/Titan-Women-Wallets_5841ca00988305bc3cee7250f0276b1e_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Wallets/Titan/Titan-Women-Mustard-Yellow-Leather-Wallet/155981/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted from soft and supple textured-leather, Titan's wallet is a luxe everyday choice. This capacious style features plenty card slots, pockets and comes in a presentation box – it's a great gift for yourself or a fashionable friend.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Mustard yellow, textured, two fold, leather wallet with stitched detailing, has a flap with press button closure and brand badge on it<br/>Two slip pockets, an ID card holder and eight card holders on both the folds<br/>Has a pen holder between the left fold and the centre fold<br/>A zipped pocket at the back with a slip pocket and a photograph holder inside<br/>Warranty: 6 months from the date of purchase against any manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 10.5 cm<br/>Width: 20 cm</p></li></ul>,25:02:2014,None
None,Titan Women Green Leather Wallet,http://www.myntra.com/Wallets/Titan/Titan-Women-Green-Leather-Wallet/155977/buy,Rs. 1,395,women-accessories-new-arrivals,Accessories,Titan,http://myntra.myntassets.com/images/style/properties/Titan-Women-Green-Leather-Wallet_43725ca40a81a36994fea4e7dde074ea_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Wallets/Titan/Titan-Women-Green-Leather-Wallet/155977/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted from soft and supple textured-leather, Titan's wallet is a luxe everyday choice. This capacious style features plenty card slots, pockets and comes in a presentation box – it's a great gift for yourself or a fashionable friend.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Green, textured wallet, has a flap with brand badge in front and press buttoned closure<br/>One main compartment with a zipped separator, and six card holders on either side<br/>Warranty: 6 months from the date of purchase</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Leather<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 9.5 cm<br/>Width: 18 cm</p></li></ul>,25:02:2014,None
None,Titan Women White Dial Watch,http://www.myntra.com/Watches/Titan/Titan-Women-White-Dial-Watch/178502/buy,Rs. 1,995,women-accessories-new-arrivals,Accessories,Titan,http://myntra.myntassets.com/images/style/properties/Titan-Women-Watches_441f68432297e2ae008c766a0d928fa3_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/Titan/Titan-Women-White-Dial-Watch/178502/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This stylish watch from Titan, with classic, timeless styling is a must-have for every well dressed woman. Built with the utmost precision and individuality, each watch has been designed and carefully tested to give you years of reliable service and contemporary style for the woman of class.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel round case<br/>Dial style: White dial, has purple hands and markings, and branding below the 12 hour mark<br/>Strap style: White silicone strap with a tang clasp closure<br/>Features: Screw to reset the time<br/>Water resistant up to 30 metres<br/>Warranty: 2 years</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 40 mm<br/>Strap width: 20 mm</p></li></ul>,25:02:2014,None
None,Titan Women Brown & Black Reversible Leather Belt,http://www.myntra.com/Belts/Titan/Titan-Women-Brown-&-Black-Reversible-Leather-Belt/155904/buy,Rs. 1,295,women-accessories-new-arrivals,Accessories,Titan,http://myntra.myntassets.com/images/style/properties/Titan-Women-Belts_60ff3f7f5c346082ed0177f590a91851_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Belts/Titan/Titan-Women-Brown-&-Black-Reversible-Leather-Belt/155904/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a stylish edge to your look with this sleek leather belt from Titan. We love the textured upper and the slim look. Team it with trousers and tucked-in shirt to spruce up your corporate look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black and brown reversible belt, has a textured leather upper<br/>Has a tang clasp closure with holes to customise fit<br/>Fixed loop to hold the belt in place<br/>Warranty: 6 months from the date of purchase against any manufacturing defects</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Genuine leather<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 3 cm</p></li></ul>,25:02:2014,None
None,Titan Women Black Leather Belt,http://www.myntra.com/Belts/Titan/Titan-Women-Black-Leather-Belt/155856/buy,Rs. 895,women-accessories-new-arrivals,Accessories,Titan,http://myntra.myntassets.com/images/style/properties/Titan-Women-Black-Leather-Belt_b18da830697286e3b77deede02463928_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Belts/Titan/Titan-Women-Black-Leather-Belt/155856/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['S', 'M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>With a sleek design, this Titan belt is a great accessory to spruce up your casual ensembles. Team it with capris and a short top for a day out.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black, slim belt with branding at the tail end<br/> Mushroom loop styled, insert press closure with a knotted detail on top to hold the belt in place<br/> Holes to customise fit<br/> Warranty: 6 months</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Soft cow leather<br/> Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Width: 2 cm</p></li></ul>,25:02:2014,None
None,Titan Women Purple Dial Watch,http://www.myntra.com/Watches/Titan/Titan-Women-Purple-Dial-Watch/178500/buy,Rs. 1,995,women-accessories-new-arrivals,Accessories,Titan,http://myntra.myntassets.com/images/style/properties/Titan-Women-Watches_e9fd917772fc471d17b2f6038e43b1fc_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/Titan/Titan-Women-Purple-Dial-Watch/178500/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Make a fashion statement that will make heads turn with this stylish watch from Titan. Durable and stylish, it is a definite must-have in your accessory collection.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel circular case<br/>Dial style: Purple dial with yellow markings and hands, branding on the dial<br/>Features: Screw to reset the time<br/>Strap style: Purple, silicone strap with an adjustable tang clasp closure<br/>Water resistance: Up to 30 m<br/>Warranty: Two years against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 43 mm<br/>Strap width: 20 mm</p></li></ul>,25:02:2014,None
None,Titan Women Purple Dial Watch,http://www.myntra.com/Watches/Titan/Titan-Women-Purple-Dial-Watch/178500/buy,Rs. 1,995,women-accessories-new-arrivals,Accessories,Titan,http://myntra.myntassets.com/images/style/properties/Titan-Women-Watches_e9fd917772fc471d17b2f6038e43b1fc_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/Titan/Titan-Women-Purple-Dial-Watch/178500/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Make a fashion statement that will make heads turn with this stylish watch from Titan. Durable and stylish, it is a definite must-have in your accessory collection.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel circular case<br/>Dial style: Purple dial with yellow markings and hands, branding on the dial<br/>Features: Screw to reset the time<br/>Strap style: Purple, silicone strap with an adjustable tang clasp closure<br/>Water resistance: Up to 30 m<br/>Warranty: Two years against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 43 mm<br/>Strap width: 20 mm</p></li></ul>,25:02:2014,None
None,Titan Women Pink Dial Watch,http://www.myntra.com/Watches/Titan/Titan-Women-Pink-Dial-Watch/178498/buy,Rs. 1,995,women-accessories-new-arrivals,Accessories,Titan,http://myntra.myntassets.com/images/style/properties/Titan-Women-Watches_144e2849385ea7a9b277783a0f4ec041_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Watches/Titan/Titan-Women-Pink-Dial-Watch/178498/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Make a fashion statement that will make heads turn with this stylish watch from Titan. Durable and stylish, it is a definite must-have in your accessory collection.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel circular case<br/>Dial style: Pink dial with green markings and hands, branding on the dial<br/>Features: Screw to reset the time<br/>Strap style: Pink, silicone strap with an adjustable tang clasp closure<br/>Water resistance: Up to 30 m<br/>Warranty: Two years against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 43 mm<br/>Strap width: 20 mm</p></li></ul>,25:02:2014,None
