None,Lucera Women Silver Ring,http://www.myntra.com/Ring/Lucera/Lucera-Women-Silver-Ring/49021/buy,Rs. 3,350,fashion-sale,Extra 32% Off on 30,Lucera,http://myntra.myntassets.com/images/style/properties/Lucera-Women-Silver-Ring_9922194a31e111b9eb205aaeb451b47a_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Ring/Lucera/Lucera-Women-Silver-Ring/49021/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/>Add a sophisticated polish to your minimalist look this season with this <a href="../lucera-ring">lucera ring</a>. Styled to refine your ensemble, don't save it just for the special dates - wear this with your <a href="../denim">denim</a> and tee staples too. Up the style bar with this lovely piece and style it with tonal <a href="../accessories">accessories</a>.         <br/><br/><strong>Product Details</strong><br/>Wide silver band that's braodest at the front<br/>Diamond shaped centre pattern with white stone insets and silver stud details<br/><br/><strong>Material and Care</strong><br/>Silver, CZ diamonds<br/>Wipe with a cotton swab to remove dust</p></li></ul>,26:02:2014,None
None,Lucera Silver Ring,http://www.myntra.com/Ring/Lucera/Lucera-Silver-Ring/59456/buy,Rs. 5,215,fashion-sale,Extra 32% Off on 30,Lucera,http://myntra.myntassets.com/images/style/properties/Lucera-Silver-Ring_2abd5a234317a2dadf0873ac12c55529_images_1080_1440_mini.jpg,Rs. 7,450,None,fashion,http://www.myntra.com/Ring/Lucera/Lucera-Silver-Ring/59456/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Make this ring your sartorial signature on a monochrome look - fashion addicts will love its unique styling. A season pick-me-up, style this with tonal jewellery and keep wrist jewellery to a minimum to bring out the sparkle of this piece to maximum effect</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Thick silver band with black and white stones encrusted in a yin-yang style</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Crystals, silver<br/> Wipe with a cotton swab to remove dust</p></li></ul>,26:02:2014,None
None,Lucera Silver Earrings,http://www.myntra.com/Earrings/Lucera/Lucera-Silver-Earrings/59524/buy,Rs. 3,675,fashion-sale,Extra 32% Off on 30,Lucera,http://myntra.myntassets.com/images/style/properties/Lucera-Silver-Earrings_661ed1806c4814524019859bd588c4b1_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Lucera/Lucera-Silver-Earrings/59524/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or   'luminous star'  in Spanish, is designed for fashionistas who like to shine! Lucera fashion jewellery offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today. What makes these earrings a must buy is the fact that these earrings are easily paired and will match most of the outfits in your wardrobe in elegance and style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver hoop earring with encrusted CZ diamonds <br/> Lever back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver and CZ Diamonds<br/> Wipe with a cotton swab when needed</p></li></ul>,26:02:2014,None
None,Lucera Women Silver Earrings,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48613/buy,Rs. 3,308,fashion-sale,Extra 32% Off on 30,Lucera,http://myntra.myntassets.com/images/style/properties/a13d2f2117212b899fcc8a678a64b46e_images_1080_1440_mini.jpg,Rs. 4,725,None,fashion,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48613/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or &amp; lsquo luminous star&amp; rsquo  in Spanish, is designed for fashionistas  who like to shine! Lucera fashion jewellery offers contemporary designs  to complement the various moods of the modern and fashion conscious  woman of today. What makes these earrings a must buy is the fact that  these earrings are easily paired and will match most of the outfits in  your wardrobe in elegance and style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver <a href="../earrings">earrings</a><br/>Silver hoops with crystal insets on the outside in front <br/>Lever back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver and crystal<br/>Wipe with a cotton swab when needed</p></li></ul>,26:02:2014,None
None,Lucera Women Silver Pendant with Chain,http://www.myntra.com/Pendant/Lucera/Lucera-Women-Silver-Pendant-with-Chain/48911/buy,Rs. 1,698,fashion-sale,Extra 32% Off on 30,Lucera,http://myntra.myntassets.com/images/style/properties/689ceb9bdda2404dc4bc1576c3a6d518_images_1080_1440_mini.jpg,Rs. 2,425,None,fashion,http://www.myntra.com/Pendant/Lucera/Lucera-Women-Silver-Pendant-with-Chain/48911/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><strong>Style Note</strong><br/><a href="../lucera">lucera</a>, or &amp; lsquo luminous star&amp; rsquo  in Spanish, is designed for fashionistas who like to shine! Lucera fashion <a href="../jewellery">jewellery</a> offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today.<br/><br/><strong>Product Details</strong><br/>A silver <a href="../pendant">pendant</a> with CZ diamonds and a golden coloured stone in the centre    <br/>Comes with a <a href="../chain">chain</a> and its design might slightly vary<br/><strong><br/>Material and Care</strong><br/>Silver<br/>Wipe with a damp swob to remove dust <br/></p></li></ul>,26:02:2014,None
None,Lucera Silver Ring,http://www.myntra.com/Ring/Lucera/Lucera-Silver-Ring/59458/buy,Rs. 7,175,fashion-sale,Extra 32% Off on 30,Lucera,http://myntra.myntassets.com/images/style/properties/Lucera-Silver-Ring_962c003577d0bc0b33870e1587a008b6_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Ring/Lucera/Lucera-Silver-Ring/59458/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or 'luminous star'  in Spanish, is designed for fashionistas who like to shine! Lucera fashion jewellery offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today. Add a sophisticated polish to your minimalist look this season with this Lucera ring. Up the style bar with this trendy piece and style it with tonal accessories.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver band with a wide black inset at the centre and encrusted CZ diamonds</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver, CZ diamonds<br/> Wipe with a cotton swab to remove dust</p></li></ul>,26:02:2014,None
None,Lucera Gold Plated Ring,http://www.myntra.com/Ring/Lucera/Lucera-Gold-Plated-Ring/59469/buy,Rs. 5,950,fashion-sale,Extra 32% Off on 30,Lucera,http://myntra.myntassets.com/images/style/properties/Lucera-Gold-Plated-Ring_07901ee96c548a04275f56493cbb5d76_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Ring/Lucera/Lucera-Gold-Plated-Ring/59469/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or &amp;   lsquo luminous star&amp;   rsquo  in Spanish, is designed for fashionistas who like to shine! Lucera fashion jewellery offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today. Add a sophisticated polish to your minimalist look this season with this Lucera ring. Up the style bar with this trendy piece and style it with tonal accessories.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold plated silver band with encrusted CZ diamonds on top</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver with gold plated, CZ diamonds<br/> Wipe with a cotton swab to remove dust</p></li></ul>,26:02:2014,None
None,Lucera Silver Ring,http://www.myntra.com/Ring/Lucera/Lucera-Silver-Ring/59466/buy,Rs. 5,800,fashion-sale,Extra 32% Off on 30,Lucera,http://myntra.myntassets.com/images/style/properties/Lucera-Silver-Ring_827931c1a79c368583b67fe89e462e7a_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Ring/Lucera/Lucera-Silver-Ring/59466/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or 'luminous star'  in Spanish, is designed for fashionistas who like to shine! Lucera fashion jewellery offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today. Add a sophisticated polish to your minimalist look this season with this Lucera ring. Up the style bar with this trendy piece and style it with tonal accessories.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Heart-shaped <a href="../ring">ring</a> with encrusted CZ diamonds</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver, CZ diamonds<br/> Wipe with a cotton swab to remove dust</p></li></ul>,26:02:2014,None
None,Lucera Women Silver Earrings,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48647/buy,Rs. 1,855,fashion-sale,Extra 32% Off on 30,Lucera,http://myntra.myntassets.com/images/style/properties/e11068d44cd46249220ccfde86ddca81_images_1080_1440_mini.jpg,Rs. 2,650,None,fashion,http://www.myntra.com/Earrings/Lucera/Lucera-Women-Silver-Earrings/48647/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or â &amp;euro &amp;tilde luminous starâ &amp;euro &amp;trade  in Spanish, is designed for fashionistas who like to shine! Lucera fashion jewellery offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today. What makes these earrings a must buy is the fact that these earrings are easily paired and will match most of the outfits in your wardrobe in elegance and style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver coloured <a href="../earrings">earrings</a><br/>Single string of CZ diamonds<br/>Push back closure<br/></p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver and CZ diamonds<br/>Wipe with a cotton swab when needed</p></li></ul>,26:02:2014,None
None,Lucera Silver Earrings,http://www.myntra.com/Earrings/Lucera/Lucera-Silver-Earrings/59520/buy,Rs. 7,100,fashion-sale,Extra 32% Off on 30,Lucera,http://myntra.myntassets.com/images/style/properties/Lucera-Silver-Earrings_34de4c3e4800e3c81bfc81fa3f29cacc_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Lucera/Lucera-Silver-Earrings/59520/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or 'luminous star'  in Spanish, is designed for fashionistas who like to shine! Lucera fashion jewellery offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today. What makes these earrings a must buy is the fact that these earrings are easily paired and will match most of the outfits in your wardrobe in elegance and style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver earring with encrusted black and white CZ diamonds<br/> Post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver and CZ Diamonds<br/> Wipe with a cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of bracelet: 3.5 cm</p></li></ul>,26:02:2014,None
None,Lucera Silver Earrings,http://www.myntra.com/Earrings/Lucera/Lucera-Silver-Earrings/59523/buy,Rs. 3,700,fashion-sale,Extra 32% Off on 30,Lucera,http://myntra.myntassets.com/images/style/properties/Lucera-Silver-Earrings_7ea068c0af4d348c2271017173fc8fd2_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Lucera/Lucera-Silver-Earrings/59523/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lucera, or 'luminous star'  in Spanish, is designed for fashionistas who like to shine! Lucera fashion jewellery offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today. What makes these earrings a must buy is the fact that these earrings are easily paired and will match most of the outfits in your wardrobe in elegance and style.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver earring with a circular dangler, encrusted with CZ diamonds<br/> Post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Silver and CZ Diamonds<br/> Wipe with a cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of earring: 3 cm</p></li></ul>,26:02:2014,None
