None,Maybelline Chrome Pink Nail Enamel 009,http://www.myntra.com/nail-polish/maybelline/maybelline-chrome-pink-nail-enamel-009/181756/buy,Rs. 75,women-cosmetics-perfumes,Cosmetics & Perfumes,Valley of Flowers,http://myntra.myntassets.com/images/style/properties/Maybelline-Chrome-Pink-Nail-Enamel-009_003e3560422269d5e42db23eeb3bf273_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/nail-polish/maybelline/maybelline-chrome-pink-nail-enamel-009/181756/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Nail polish from Color Show by Maybelline gives you glossy and bright nails that you will want to flaunt. Grab your favourite colour and coordinate your nails with your outfit.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Maybelline Color Show nail polish<br/>Comes in a glass bottle with a soft brush applicator</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>6 ml</p></li></ul>,25:02:2014,None
None,Yardley London Women Jasmine Deo,http://www.myntra.com/deos/yardley-london/yardley-london-women-jasmine-deo/28216/buy,Rs. 170,women-cosmetics-perfumes,Cosmetics & Perfumes,Valley of Flowers,http://myntra.myntassets.com/images/style/properties/Yardley-London-Women-Jasmine-Deo_85b894d5e2483e1b81db587071b55ebc_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/deos/yardley-london/yardley-london-women-jasmine-deo/28216/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>With over 200 years expertise, Yardley London selects only the finest ingredients to create this unforgettable fragrance. Experience the classic scent of Lily of the Valley in this scented body spray.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Yardley London Jasmine is a perfumed deodorant which comes in an easy aerosol spray canister<br/>Comes with a free 50 g Yardley soap</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p><br/></p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>150 ml</p></li></ul>,25:02:2014,None
None,LOreal Excellence Creme Natural Dark Brown Hair Colour 4,http://www.myntra.com/hair-colour/loreal/loreal-excellence-creme-natural-dark-brown-hair-co/135698/buy,Rs. 559,women-cosmetics-perfumes,Cosmetics & Perfumes,Valley of Flowers,http://myntra.myntassets.com/images/style/properties/LOreal-Excellence-Creme-Natural-Dark-Brown-Hair-Colour-4_8810a529a5c70be7ad72b50c6573ea89_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/hair-colour/loreal/loreal-excellence-creme-natural-dark-brown-hair-co/135698/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>LOreal Excellence Creme triple care colour protects the hair before, during and after colouring your hair.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>The pack contains protective serum, the colouring creme and the developer, the conditioner, a comb applicator, a pair of premium quality gloves and an instruction leaflet<br/>Ammonia free hair colour<br/>Covers greys and gives a shimmering colour with rich glossy shine<br/>Conditioning care to give you satin soft, voluptuous hair</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Please follow instruction manual carefully before use</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Protective serum: 12 g<br/>Extra protective creme colourant: 48 g<br/>Developer: 72 ml<br/>Ceramide protein conditioner: 40 g</p></li></ul>,25:02:2014,None
None,Garnier Pure Active Neem Face Wash,http://www.myntra.com/face-wash/garnier/garnier-pure-active-neem-face-wash/62278/buy,Rs. 80,women-cosmetics-perfumes,Cosmetics & Perfumes,Valley of Flowers,http://myntra.myntassets.com/images/style/properties/Garnier-Pure-Active-Neem-Face-Wash_55228ffa25e21607f5727208189227d9_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/face-wash/garnier/garnier-pure-active-neem-face-wash/62278/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Clear skin is tough to get and even tougher to maintain. Garnier Pure Active Range not only helps clear up acne prone skin but also helps in reductions of spots and acne marks. With powerful and natural anti bacterial ingredients, this range helps get you that flawless, glowing skin.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Garnier Pure Active Neem fights bacteria, pollution and removes oil, has neem and tea tree extracts, is meant for pimple prone skin</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>100 grams</p></li></ul>,25:02:2014,None
None,Garnier Miracle Skin Perfector BB Cream,http://www.myntra.com/day-cream/garnier/garnier-miracle-skin-perfector-bb-cream/159841/buy,Rs. 99,women-cosmetics-perfumes,Cosmetics & Perfumes,Valley of Flowers,http://myntra.myntassets.com/images/style/properties/Garnier-Miracle-Skin-Perfector-BB-Cream_49ddef967f9893436211dce9810756c5_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/day-cream/garnier/garnier-miracle-skin-perfector-bb-cream/159841/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>If you are looking for a skin cream that instantly and effectively helps make your skin perfect, your search ends here. Garnier's BB cream boosts radiance for a luminous, fresh complexion. Concentrated in mineral pigments, the formula perfects the skin, leaving a unified, natural look, as though airbrushed.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Garnier BB Cream with SPF 24, for protection against UVA and UVB sun rays<br/>Enriched with Vitamin C, almond extract and mineral pigments for brightening<br/>Blurs lines and imperfections<br/>Gives 8 hours moisturisation</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>18 g</p></li></ul>,25:02:2014,None
None,Vichy Women Sunscreen,http://www.myntra.com/sunscreen/vichy/vichy-women-sunscreen/78072/buy,Rs. 890,women-cosmetics-perfumes,Cosmetics & Perfumes,Valley of Flowers,http://myntra.myntassets.com/images/style/properties/Vichy-Women-Sunscreen_7494c708587b936af94010d6f6fa305f_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/sunscreen/vichy/vichy-women-sunscreen/78072/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Beauty doesn't last for long and is something that must be  sensitively nurtured. Vichy's skincare solutions are an innovative  combination of dermatological ingredients and natural Vichy thermal  water for greater efficacy and visible results. Use Vichy's products to  breathe a new life into your skin.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Protects against sun-induced skin damage, appearance of brown spots ans sun-induced premature skin ageing</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>50 ml</p></li></ul>,25:02:2014,None
None,Garnier Pure Active Pore Unclogging Face Wash 50g,http://www.myntra.com/face-wash/garnier/garnier-pure-active-pore-unclogging-face-wash-50g/62280/buy,Rs. 79,women-cosmetics-perfumes,Cosmetics & Perfumes,Valley of Flowers,http://myntra.myntassets.com/images/style/properties/Garnier-Women-Pure-Active-Pore-Unclogging-Face-Wash-50g_d982e3273fde6da89902f9c7652782f3_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/face-wash/garnier/garnier-pure-active-pore-unclogging-face-wash-50g/62280/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Clear skin is tough to get and even tougher to maintain. Garnier Pure Active Range not only helps clear up acne prone skin but also helps in reductions of spots and acne marks. With powerful and natural anti bacterial ingredients, this range helps you to get that flawless, glowing skin.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><a href="../garnier">garnier</a> Pure Active Pore Unclogging <a href="../face-wash">face wash</a> purifies pores and prevents marks, is a concentrated formula, has salicylic acid and HerbaRepair and anti-spots and anti marks properties</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>50 g</p></li></ul>,25:02:2014,None
None,Maybelline Baby Lips Coral Flush Lip Balm,http://www.myntra.com/lip-balm/maybelline/maybelline-baby-lips-coral-flush-lip-balm/85800/buy,Rs. 150,women-cosmetics-perfumes,Cosmetics & Perfumes,Valley of Flowers,http://myntra.myntassets.com/images/style/properties/Maybelline-Women-BABY-LIPS-CORAL-FLUSH-Lip-Balm_f751b48a3d8b8ffbcaaa6d2b35b7ccf6_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/lip-balm/maybelline/maybelline-baby-lips-coral-flush-lip-balm/85800/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>The Baby Lips lip balm from Maybelline is a next generation lip balm with translucent colour and a six hour moisture formula.  Get the softness of baby lips with the added strength that adult lips require with this stick style lip balm!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Lip balm in a stick<br/> Translucent colour pop<br/> Six hour moisture</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>4.5 grams</p></li></ul>,25:02:2014,None
None,Maybelline Clear Glow Nude Bright Benefit Cream 01,http://www.myntra.com/foundation/maybelline/maybelline-clear-glow-nude-bright-benefit-cream-01/62304/buy,Rs. 199,women-cosmetics-perfumes,Cosmetics & Perfumes,Valley of Flowers,http://myntra.myntassets.com/images/style/properties/Maybelline-Clear-Glow-Nude-Bright-Benefit-Cream-01_8be7c3cf39e6dd3e4f4ceb6cc6d07043_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/foundation/maybelline/maybelline-clear-glow-nude-bright-benefit-cream-01/62304/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Maybelline ClearGlow Bright Benefit cream instantly brightens your skin to one tone lighter. It hides imperfections &amp;   corrects uneven skin tone, moisturises all day(8 hours) and perfectly conceals blemishes giving you flawless and luminous skin.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Protects with SPF 21/ PA+++ <br/> Resists sweat &amp;   sebum for 5 hours<br/> Easy to use<br/> With micro minerals and 8 in 1 skin transformer<br/> Suitable for all skin types</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>18 ml</p></li></ul>,25:02:2014,None
None,Nivea Whitening Roll-On Deo,http://www.myntra.com/deos/nivea/nivea-whitening-roll-on-deo/125317/buy,Rs. 165,women-cosmetics-perfumes,Cosmetics & Perfumes,Valley of Flowers,http://myntra.myntassets.com/images/style/properties/Nivea-Women-Deos_384e9fc2d2e4a92fef68d615639b2bf3_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/deos/nivea/nivea-whitening-roll-on-deo/125317/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Stay refreshingly fresh all day long with Nivea's Whitening roll-on deodorant. With licorice extracts and witch hazel, it will provide you 48 hours reliable, anti-perspirant protection and also make your underarms fairer.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Perfumed roll-on deodorant with licorice extracts and witch hazel for fairer underarms<br/>Comes in a white, glass flacon with a roll-on knob</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>50 ml</p></li></ul>,25:02:2014,None
