None,Femella Women Charcoal Grey Jacket,http://www.myntra.com/Jackets/Femella/Femella-Women-Charcoal-Grey-Jacket/187198/buy,Rs. 1,343,women-jackets-blazers,Jackets & Blazers,Femella,http://myntra.myntassets.com/images/style/properties/Femella-Women-Charcoal-Grey-Jacket_9fc2bd3651ed69b14f470ab01cbf712e_images_1080_1440_mini.jpg,Rs. 1,790,None,women,http://www.myntra.com/Jackets/Femella/Femella-Women-Charcoal-Grey-Jacket/187198/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['L'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A dark army-style jacket is wardrobe essential for every girl. Femella gets you this smart piece with a very feminine, fit and flare cut, that is figure flattering and appealing. We suggest you team it up with a pair of beige cigarette pants and pumps for an ultra chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Charcoal grey jacket with a green tinge, textured weave, stand collar, full buttoned placket down front, has mock button, tab and loop detailing at the shoulders, shoulder pads, princess panels at front and back, long sleeves, fit and flare cut at the waist with box pleats, mock belt detail at back waist, slit at centre back hem, beige coloured lining</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Polyester blend<br/>Dry clean only</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Tailored fit<span style="font-family: Arial, sans-serif;"><br/>The model (height 5'8" and chest 33") is wearing a size M</span></p></li></ul>,26:02:2014,None
None,Femella Women Red Jacket,http://www.myntra.com/Jackets/Femella/Femella-Women-Red-Jacket/225401/buy,Rs. 1,099,women-jackets-blazers,Jackets & Blazers,Femella,http://myntra.myntassets.com/images/style/properties/Femella-Women-Jackets_5069a23cba049a179b1652f5456fc243_images_1080_1440_mini.jpg,Rs. 1,690,None,women,http://www.myntra.com/Jackets/Femella/Femella-Women-Red-Jacket/225401/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M', 'L', 'XL', 'XXL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lightweight and in a bright hue, you'll look nothing short of cool in this jacket by Femella. We recommend teaming it with dark skinny jeans for the best look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red jacket, panelled, fleece line knitted, mock collar, long sleeves, open ended zip closure at front, insert pockets with zip closure at sides in front</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Bio-wash premium quality fleece<br/>Cold Wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size M</p></li></ul>,26:02:2014,None
None,Femella Women Charcoal Grey Jacket,http://www.myntra.com/Jackets/Femella/Femella-Women-Charcoal-Grey-Jacket/187198/buy,Rs. 1,343,women-jackets-blazers,Jackets & Blazers,Femella,http://myntra.myntassets.com/images/style/properties/Femella-Women-Charcoal-Grey-Jacket_9fc2bd3651ed69b14f470ab01cbf712e_images_1080_1440_mini.jpg,Rs. 1,790,None,women,http://www.myntra.com/Jackets/Femella/Femella-Women-Charcoal-Grey-Jacket/187198/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['M', 'L', 'XL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A dark army-style jacket is wardrobe essential for every girl. Femella gets you this smart piece with a very feminine, fit and flare cut, that is figure flattering and appealing. We suggest you team it up with a pair of beige cigarette pants and pumps for an ultra chic look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Charcoal grey jacket with a green tinge, textured weave, stand collar, full buttoned placket down front, has mock button, tab and loop detailing at the shoulders, shoulder pads, princess panels at front and back, long sleeves, fit and flare cut at the waist with box pleats, mock belt detail at back waist, slit at centre back hem, beige coloured lining</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Polyester blend<br/>Dry clean only</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Tailored fit<span style="font-family: Arial, sans-serif;"><br/>The model (height 5'8" and chest 33") is wearing a size M</span></p></li></ul>,26:02:2014,None
None,Femella Women Red Jacket,http://www.myntra.com/Jackets/Femella/Femella-Women-Red-Jacket/225401/buy,Rs. 1,099,women-jackets-blazers,Jackets & Blazers,Femella,http://myntra.myntassets.com/images/style/properties/Femella-Women-Jackets_5069a23cba049a179b1652f5456fc243_images_1080_1440_mini.jpg,Rs. 1,690,None,women,http://www.myntra.com/Jackets/Femella/Femella-Women-Red-Jacket/225401/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['XS', 'S', 'M', 'L', 'XL', 'XXL'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Lightweight and in a bright hue, you'll look nothing short of cool in this jacket by Femella. We recommend teaming it with dark skinny jeans for the best look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red jacket, panelled, fleece line knitted, mock collar, long sleeves, open ended zip closure at front, insert pockets with zip closure at sides in front</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Bio-wash premium quality fleece<br/>Cold Wash</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>The model (height 5'8" and chest 33") is wearing a size M</p></li></ul>,26:02:2014,None
